	signature	seed	d_avg
0	[(-1, 2), (-1, 2)]	135	
1	[(-1, 2), (-1, 2)]	136	
2	[(-1, 2), (-1, 2)]	137	
3	[(-1, 2), (-1, 2)]	138	
4	[(-1, 2), (-1, 2)]	139	
5	[(-1, 2), (-1, 2)]	140	
6	[(-1, 2), (-1, 2)]	141	
7	[(-1, 2), (-1, 2)]	142	
8	[(-1, 2), (-1, 2)]	143	
9	[(-1, 2), (-1, 2)]	144	
10	[(-1, 2), (0, 2)]	145	
11	[(-1, 2), (0, 2)]	146	
12	[(-1, 2), (0, 2)]	147	
13	[(-1, 2), (0, 2)]	148	
14	[(-1, 2), (0, 2)]	149	
15	[(-1, 2), (0, 2)]	150	
16	[(-1, 2), (0, 2)]	151	
17	[(-1, 2), (0, 2)]	152	
18	[(-1, 2), (0, 2)]	153	
19	[(-1, 2), (0, 2)]	154	
20	[(-1, 2), (1, 2)]	155	
21	[(-1, 2), (1, 2)]	156	
22	[(-1, 2), (1, 2)]	157	
23	[(-1, 2), (1, 2)]	158	
24	[(-1, 2), (1, 2)]	159	
25	[(-1, 2), (1, 2)]	160	
26	[(-1, 2), (1, 2)]	161	
27	[(-1, 2), (1, 2)]	162	
28	[(-1, 2), (1, 2)]	163	
29	[(-1, 2), (1, 2)]	164	
30	[(1, 2), (1, 2)]	165	
31	[(1, 2), (1, 2)]	166	
32	[(1, 2), (1, 2)]	167	
33	[(1, 2), (1, 2)]	168	
34	[(1, 2), (1, 2)]	169	
35	[(1, 2), (1, 2)]	170	
36	[(1, 2), (1, 2)]	171	
37	[(1, 2), (1, 2)]	172	
38	[(1, 2), (1, 2)]	173	
39	[(1, 2), (1, 2)]	174	
40	[(1, 2), (0, 2)]	175	
41	[(1, 2), (0, 2)]	176	
42	[(1, 2), (0, 2)]	177	
43	[(1, 2), (0, 2)]	178	
44	[(1, 2), (0, 2)]	179	
45	[(1, 2), (0, 2)]	180	
46	[(1, 2), (0, 2)]	181	
47	[(1, 2), (0, 2)]	182	
48	[(1, 2), (0, 2)]	183	
49	[(1, 2), (0, 2)]	184	
50	[(-1, 4)]	188	
51	[(-1, 4)]	189	
52	[(-1, 4)]	190	
53	[(-1, 4)]	191	
54	[(-1, 4)]	192	
55	[(-1, 4)]	193	
56	[(-1, 4)]	194	
57	[(-1, 4)]	196	
58	[(-1, 4)]	197	
59	[(-1, 4)]	198	
60	[(0, 4)]	199	
61	[(0, 4)]	200	
62	[(0, 4)]	201	
63	[(0, 4)]	202	
64	[(0, 4)]	203	
65	[(0, 4)]	204	
66	[(0, 4)]	205	
67	[(0, 4)]	206	
68	[(0, 4)]	207	
69	[(0, 4)]	208	
70	[(1, 4)]	209	
71	[(1, 4)]	210	
72	[(1, 4)]	211	
73	[(1, 4)]	212	
74	[(1, 4)]	213	
75	[(1, 4)]	214	
76	[(1, 4)]	215	
77	[(1, 4)]	216	
78	[(1, 4)]	217	
79	[(1, 4)]	218	
