	signature	seed	d_avg
0	[(-1, 2), (-1, 2)]	219	
1	[(-1, 2), (-1, 2)]	220	
2	[(-1, 2), (-1, 2)]	221	
3	[(-1, 2), (-1, 2)]	222	
4	[(-1, 2), (-1, 2)]	223	
5	[(-1, 2), (-1, 2)]	224	
6	[(-1, 2), (-1, 2)]	225	
7	[(-1, 2), (-1, 2)]	226	
8	[(-1, 2), (-1, 2)]	227	
9	[(-1, 2), (-1, 2)]	228	
10	[(-1, 2), (0, 2)]	229	
11	[(-1, 2), (0, 2)]	230	
12	[(-1, 2), (0, 2)]	231	
13	[(-1, 2), (0, 2)]	232	
14	[(-1, 2), (0, 2)]	233	
15	[(-1, 2), (0, 2)]	234	
16	[(-1, 2), (0, 2)]	235	
17	[(-1, 2), (0, 2)]	236	
18	[(-1, 2), (0, 2)]	237	
19	[(-1, 2), (0, 2)]	238	
20	[(-1, 2), (1, 2)]	240	
21	[(-1, 2), (1, 2)]	241	
22	[(-1, 2), (1, 2)]	242	
23	[(-1, 2), (1, 2)]	243	
24	[(-1, 2), (1, 2)]	244	
25	[(-1, 2), (1, 2)]	245	
26	[(-1, 2), (1, 2)]	246	
27	[(-1, 2), (1, 2)]	247	
28	[(-1, 2), (1, 2)]	248	
29	[(-1, 2), (1, 2)]	249	
30	[(1, 2), (1, 2)]	250	
31	[(1, 2), (1, 2)]	251	
32	[(1, 2), (1, 2)]	252	
33	[(1, 2), (1, 2)]	253	
34	[(1, 2), (1, 2)]	254	
35	[(1, 2), (1, 2)]	255	
36	[(1, 2), (1, 2)]	256	
37	[(1, 2), (1, 2)]	257	
38	[(1, 2), (1, 2)]	258	
39	[(1, 2), (1, 2)]	259	
40	[(1, 2), (0, 2)]	260	
41	[(1, 2), (0, 2)]	261	
42	[(1, 2), (0, 2)]	262	
43	[(1, 2), (0, 2)]	263	
44	[(1, 2), (0, 2)]	264	
45	[(1, 2), (0, 2)]	265	
46	[(1, 2), (0, 2)]	266	
47	[(1, 2), (0, 2)]	267	
48	[(1, 2), (0, 2)]	268	
49	[(1, 2), (0, 2)]	269	
50	[(-1, 4)]	270	
51	[(-1, 4)]	273	
52	[(-1, 4)]	274	
53	[(-1, 4)]	275	
54	[(-1, 4)]	276	
55	[(-1, 4)]	277	
56	[(-1, 4)]	278	
57	[(-1, 4)]	280	
58	[(-1, 4)]	281	
59	[(-1, 4)]	282	
60	[(0, 4)]	283	
61	[(0, 4)]	284	
62	[(0, 4)]	285	
63	[(0, 4)]	286	
64	[(0, 4)]	287	
65	[(0, 4)]	288	
66	[(0, 4)]	289	
67	[(0, 4)]	290	
68	[(0, 4)]	291	
69	[(0, 4)]	292	
70	[(1, 4)]	293	
71	[(1, 4)]	294	
72	[(1, 4)]	295	
73	[(1, 4)]	296	
74	[(1, 4)]	297	
75	[(1, 4)]	298	
76	[(1, 4)]	299	
77	[(1, 4)]	300	
78	[(1, 4)]	301	
79	[(1, 4)]	302	
