	signature	seed	d_avg
0	[(1, 2), (0, 2)]	0	
1	[(1, 2), (0, 2)]	1	
2	[(1, 2), (0, 2)]	2	
3	[(1, 2), (0, 2)]	3	
4	[(1, 2), (0, 2)]	4	
5	[(1, 2), (0, 2)]	5	
6	[(1, 2), (0, 2)]	6	
7	[(1, 2), (0, 2)]	7	
8	[(1, 2), (0, 2)]	8	
9	[(-1, 4)]	9	
10	[(-1, 4)]	10	
11	[(-1, 4)]	13	
12	[(-1, 4)]	14	
13	[(-1, 4)]	17	
14	[(-1, 4)]	18	
15	[(-1, 4)]	20	
16	[(-1, 4)]	21	
17	[(-1, 4)]	22	
18	[(-1, 4)]	23	
19	[(0, 4)]	24	
20	[(0, 4)]	25	
21	[(0, 4)]	26	
22	[(0, 4)]	27	
23	[(0, 4)]	28	
24	[(0, 4)]	29	
25	[(0, 4)]	30	
26	[(0, 4)]	31	
27	[(0, 4)]	32	
28	[(0, 4)]	33	
29	[(1, 4)]	34	
30	[(1, 4)]	35	
31	[(1, 4)]	36	
32	[(1, 4)]	37	
33	[(1, 4)]	38	
34	[(1, 4)]	39	
35	[(1, 4)]	40	
36	[(1, 4)]	41	
37	[(1, 4)]	42	
38	[(1, 4)]	43	
