signature	seed	sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
HH	0	0.285	0.285	0.0022537708282470703	0.33	0.33	0.028404712677001953	0.345	0.345	0.010430335998535156	0.35	0.35	0.11069154739379883	0.25	0.25	0.0014922618865966797	0.385	0.385	0.027215242385864258	0.365	0.365	0.6255104541778564	0.13	0.13	0.016557931900024414	0.36	0.36	0.7323954105377197	0.42	0.42	0.8071095943450928	0.185	0.185	5.2447686195373535	0.175	0.175	5.212110280990601
HH	1	0.32	0.32	0.001955270767211914	0.37	0.37	0.02666759490966797	0.35	0.35	0.01103067398071289	0.345	0.345	0.11814165115356445	0.355	0.355	0.0014805793762207031	0.365	0.365	0.027457475662231445	0.375	0.375	0.004349231719970703	0.28	0.28	0.011781454086303711	0.325	0.325	0.7468936443328857	0.36	0.36	0.7701683044433594	0.23	0.23	5.255502223968506	0.16	0.16	5.257706642150879
HH	2	0.34	0.34	0.0019507408142089844	0.395	0.395	0.02823472023010254	0.39	0.39	0.010421037673950195	0.365	0.365	0.11275911331176758	0.345	0.345	0.0014693737030029297	0.45	0.45	0.02848958969116211	0.49	0.49	0.004611492156982422	0.12	0.12	0.011982202529907227	0.335	0.335	0.7316470146179199	0.34	0.34	0.7602641582489014	0.15	0.15	5.206454277038574	0.12	0.12	5.216497421264648
HH	3	0.24	0.24	0.0019996166229248047	0.295	0.295	0.027325868606567383	0.285	0.285	0.010302305221557617	0.36	0.36	0.11567044258117676	0.235	0.235	0.001491546630859375	0.335	0.335	0.027057409286499023	0.42	0.42	0.0033292770385742188	0.11	0.11	0.01182413101196289	0.385	0.385	0.7475385665893555	0.44	0.44	0.7565515041351318	0.225	0.225	5.211113214492798	0.225	0.225	5.218756198883057
HH	4	0.27	0.27	0.0019538402557373047	0.33	0.33	0.026671171188354492	0.245	0.245	0.010963201522827148	0.37	0.37	0.1166837215423584	0.255	0.255	0.0014407634735107422	0.31	0.31	0.02801203727722168	0.425	0.425	0.0032875537872314453	0.15	0.15	0.012003898620605469	0.365	0.365	0.7484383583068848	0.36	0.36	0.765148401260376	0.13	0.13	5.223689794540405	0.2	0.2	5.225290060043335
HH	5	0.255	0.255	0.0019736289978027344	0.325	0.325	0.02713632583618164	0.325	0.325	0.010296344757080078	0.285	0.285	0.11259865760803223	0.26	0.26	0.0014765262603759766	0.295	0.295	0.02689957618713379	0.405	0.405	0.003484964370727539	0.125	0.125	0.011889219284057617	0.405	0.405	0.7331476211547852	0.415	0.415	0.7612912654876709	0.16	0.16	5.214153051376343	0.135	0.135	5.221668243408203
HH	6	0.265	0.265	0.0019707679748535156	0.36	0.36	0.027643442153930664	0.28	0.28	0.010356664657592773	0.325	0.325	0.1141366958618164	0.305	0.305	0.0014495849609375	0.33	0.33	0.028603315353393555	0.315	0.315	0.005469322204589844	0.15	0.15	0.012511968612670898	0.29	0.29	0.737504243850708	0.3	0.3	0.77091383934021	0.22	0.22	5.219676494598389	0.245	0.245	5.228517532348633
HH	7	0.295	0.295	0.0019481182098388672	0.33	0.33	0.026799678802490234	0.31	0.31	0.010756492614746094	0.375	0.375	0.11675405502319336	0.335	0.335	0.0015106201171875	0.365	0.365	0.027607202529907227	0.375	0.375	0.003651142120361328	0.14	0.14	0.012003421783447266	0.325	0.325	0.7288939952850342	0.34	0.34	0.7650606632232666	0.23	0.23	5.217879056930542	0.255	0.255	5.232698917388916
HH	8	0.365	0.365	0.001997709274291992	0.405	0.405	0.027379989624023438	0.4	0.4	0.010440587997436523	0.395	0.395	0.11386394500732422	0.395	0.395	0.0014421939849853516	0.425	0.425	0.02719259262084961	0.43	0.43	0.003628969192504883	0.25	0.25	0.012174367904663086	0.405	0.405	0.7280924320220947	0.42	0.42	0.7981157302856445	0.095	0.095	5.2210657596588135	0.1	0.1	5.214080333709717
HH	9	0.265	0.265	0.001931905746459961	0.34	0.34	0.028087615966796875	0.25	0.25	0.009488582611083984	0.395	0.395	0.11124563217163086	0.265	0.265	0.0014870166778564453	0.315	0.315	0.02635478973388672	0.42	0.42	0.003377676010131836	0.16	0.16	0.01188206672668457	0.34	0.34	0.7307553291320801	0.39	0.39	0.7640972137451172	0.185	0.185	5.213892459869385	0.235	0.235	5.2216503620147705
