curvature	seed	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_gnn_f1-micro	tangent_gnn_accuracy	tangent_gnn_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time
-4.0	0	0.31	0.31	0.3737671375274658	0.32	0.32	0.1227564811706543	0.35	0.35	0.833122968673706	0.275	0.275	0.7517414093017578	0.335	0.335	5.139908075332642	0.255	0.255	5.144505262374878
-4.0	1	0.455	0.455	0.011012554168701172	0.505	0.505	0.11593842506408691	0.415	0.415	0.7324910163879395	0.485	0.485	0.773364782333374	0.425	0.425	5.145083665847778	0.3	0.3	5.131020545959473
-4.0	2	0.33	0.33	0.010189294815063477	0.35	0.35	0.11109185218811035	0.385	0.385	0.73052978515625	0.305	0.305	0.7850973606109619	0.335	0.335	5.155694246292114	0.125	0.125	5.143704891204834
-4.0	3	0.38	0.38	0.010211467742919922	0.37	0.37	0.11525821685791016	0.37	0.37	0.7292091846466064	0.47	0.47	0.7727317810058594	0.08	0.08	5.210711479187012	0.08	0.08	5.143707990646362
-4.0	4	0.345	0.345	0.01024937629699707	0.395	0.395	0.11152243614196777	0.46	0.46	0.7302942276000977	0.13	0.13	0.7705717086791992	0.06	0.06	5.075695753097534	0.06	0.06	5.137314796447754
-4.0	5	0.365	0.365	0.01039743423461914	0.35	0.35	0.11417174339294434	0.42	0.42	0.7385482788085938	0.365	0.365	0.7763209342956543	0.28	0.28	5.169404745101929	0.185	0.185	5.217912673950195
-4.0	6	0.34	0.34	0.014614343643188477	0.39	0.39	0.13265109062194824	0.38	0.38	0.8205077648162842	0.43	0.43	0.8140592575073242	0.34	0.34	5.165897607803345	0.33	0.33	5.148312091827393
-4.0	7	0.395	0.395	0.01023411750793457	0.39	0.39	0.1135098934173584	0.375	0.375	0.7615556716918945	0.435	0.435	0.7760286331176758	0.295	0.295	5.174201250076294	0.355	0.355	5.159865856170654
-4.0	8	0.38	0.38	0.01012110710144043	0.45	0.45	0.11155915260314941	0.475	0.475	0.7428996562957764	0.365	0.365	0.7771332263946533	0.39	0.39	5.176653623580933	0.33	0.33	5.1578528881073
-4.0	9	0.24	0.24	0.010766744613647461	0.28	0.28	0.11979055404663086	0.375	0.375	0.738548755645752	0.325	0.325	0.7690014839172363	0.17	0.17	5.174658536911011	0.135	0.135	5.162612438201904
