sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	svm_f1-micro	svm_accuracy	svm_time	ps_svm_f1-micro	ps_svm_accuracy	ps_svm_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	tangent_mlp_f1-micro	tangent_mlp_accuracy	tangent_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	signature	seed
0.37	0.37	0.006325721740722656	0.395	0.395	0.5143940448760986	0.305	0.305	0.7546162605285645	0.355	0.355	9.129437685012817	0.33	0.33	0.003422975540161133	0.425	0.425	0.033539533615112305	0.41	0.41	0.22123408317565918	0.175	0.175	0.042072296142578125	0.18	0.18	0.01083683967590332	0.175	0.175	1.6372439861297607	0.275	0.275	9.4915132522583	0.31	0.31	7.185995101928711	0.13	0.13	11.729427814483643	0.18	0.18	26.315212965011597	0.23	0.23	5.073706865310669	HH	0
0.285	0.285	0.005019664764404297	0.35	0.35	0.033042192459106445	0.23	0.23	1.2096316814422607	0.355	0.355	11.42276644706726	0.29	0.29	0.003385305404663086	0.345	0.345	0.03435206413269043	0.375	0.375	0.0038328170776367188	0.17	0.17	0.040520429611206055	0.24	0.24	0.00823831558227539	0.235	0.235	1.5447509288787842	0.38	0.38	8.989742040634155	0.385	0.385	8.009060859680176	0.09	0.09	12.45620059967041	0.09	0.09	23.179276943206787	0.175	0.175	3.6740825176239014	HH	1
0.395	0.395	0.0047075748443603516	0.465	0.465	0.03368544578552246	0.365	0.365	1.1704339981079102	0.36	0.36	9.885511875152588	0.345	0.345	0.005438327789306641	0.465	0.465	0.24792933464050293	0.475	0.475	0.0037529468536376953	0.165	0.165	0.038138628005981445	0.18	0.18	0.016597986221313477	0.215	0.215	2.0918562412261963	0.365	0.365	6.482109785079956	0.405	0.405	8.650493860244751	0.115	0.115	10.238785743713379	0.115	0.115	20.60582184791565	0.26	0.26	4.932154417037964	HH	2
0.345	0.345	0.033878326416015625	0.425	0.425	0.11921310424804688	0.425	0.425	0.8100011348724365	0.43	0.43	6.843184947967529	0.355	0.355	0.003940582275390625	0.49	0.49	0.05663347244262695	0.5	0.5	0.010689496994018555	0.195	0.195	0.015313863754272461	0.26	0.26	0.012681961059570312	0.26	0.26	1.5762219429016113	0.39	0.39	6.892605543136597	0.41	0.41	5.988871812820435	0.26	0.26	11.364978313446045	0.26	0.26	33.02341604232788	0.255	0.255	4.532130002975464	HH	3
0.345	0.345	0.005342960357666016	0.345	0.345	0.5543861389160156	0.345	0.345	0.6520450115203857	0.395	0.395	7.175185203552246	0.375	0.375	0.0033817291259765625	0.43	0.43	0.03445744514465332	0.415	0.415	0.0036666393280029297	0.23	0.23	0.011466264724731445	0.17	0.17	0.00909876823425293	0.17	0.17	1.6019539833068848	0.315	0.315	4.915430068969727	0.29	0.29	5.992061614990234	0.17	0.17	7.497657060623169	0.15	0.15	21.955360174179077	0.245	0.245	4.888432025909424	HH	4
0.365	0.365	0.0047266483306884766	0.41	0.41	0.03168773651123047	0.36	0.36	0.5058813095092773	0.4	0.4	6.19012975692749	0.35	0.35	0.003885507583618164	0.44	0.44	0.06973814964294434	0.445	0.445	0.007648468017578125	0.155	0.155	0.016629695892333984	0.24	0.24	0.008978843688964844	0.23	0.23	2.439785957336426	0.335	0.335	5.825772285461426	0.37	0.37	5.316924810409546	0.155	0.155	10.275507688522339	0.08	0.08	21.299903392791748	0.305	0.305	4.281706809997559	HH	5
0.29	0.29	0.008989095687866211	0.34	0.34	0.507068395614624	0.39	0.39	1.1002693176269531	0.36	0.36	8.776490926742554	0.37	0.37	0.004015684127807617	0.4	0.4	0.23798060417175293	0.395	0.395	0.006263256072998047	0.195	0.195	0.02403545379638672	0.17	0.17	0.025049448013305664	0.16	0.16	2.4908695220947266	0.28	0.28	7.568521976470947	0.32	0.32	7.510770559310913	0.17	0.17	11.44687795639038	0.135	0.135	20.643540859222412	0.22	0.22	4.017977237701416	HH	6
0.33	0.33	0.005572795867919922	0.345	0.345	0.08338046073913574	0.32	0.32	0.8304648399353027	0.375	0.375	6.9304282665252686	0.35	0.35	0.00357818603515625	0.385	0.385	0.033016204833984375	0.39	0.39	0.0035789012908935547	0.175	0.175	0.011170387268066406	0.22	0.22	0.006602048873901367	0.225	0.225	1.5184071063995361	0.365	0.365	4.751873016357422	0.355	0.355	8.80756163597107	0.075	0.075	12.329569816589355	0.22	0.22	20.606783628463745	0.255	0.255	4.22780179977417	HH	7
0.395	0.395	0.005594491958618164	0.45	0.45	0.06076693534851074	0.335	0.335	0.6879432201385498	0.44	0.44	5.4347100257873535	0.37	0.37	0.003939151763916016	0.465	0.465	0.07187819480895996	0.435	0.435	0.008598804473876953	0.17	0.17	0.02735614776611328	0.325	0.325	0.009110212326049805	0.315	0.315	3.912008047103882	0.39	0.39	11.548203945159912	0.455	0.455	13.561723470687866	0.17	0.17	10.323693752288818	0.17	0.17	27.615410089492798	0.27	0.27	4.038459539413452	HH	8
0.315	0.315	0.005095481872558594	0.38	0.38	0.03644275665283203	0.32	0.32	0.4914078712463379	0.39	0.39	5.1782567501068115	0.335	0.335	0.004083871841430664	0.38	0.38	0.26230573654174805	0.405	0.405	0.003725767135620117	0.22	0.22	0.058824777603149414	0.16	0.16	0.05747365951538086	0.155	0.155	1.9407784938812256	0.305	0.305	6.45399284362793	0.36	0.36	6.194301605224609	0.085	0.085	8.490596055984497	0.16	0.16	21.90249466896057	0.3	0.3	3.676210641860962	HH	9
