sklearn_dt_f1-micro,sklearn_dt_time,sklearn_rf_f1-micro,sklearn_rf_time,product_dt_f1-micro,product_dt_time,product_rf_f1-micro,product_rf_time,tangent_dt_f1-micro,tangent_dt_time,tangent_rf_f1-micro,tangent_rf_time,knn_f1-micro,knn_time,ps_perceptron_f1-micro,ps_perceptron_time,svm_f1-micro,svm_time,ps_svm_f1-micro,ps_svm_time,ambient_mlp_f1-micro,ambient_mlp_time,tangent_mlp_f1-micro,tangent_mlp_time,ambient_gnn_f1-micro,ambient_gnn_time,kappa_gcn_f1-micro,kappa_gcn_time,product_mlr_f1-micro,product_mlr_time,curvature,seed
0.385,0.0019288063049316406,0.37,0.03629112243652344,0.425,0.1011805534362793,0.43,0.4440338611602783,0.35,0.0012145042419433594,0.445,0.03497123718261719,0.415,0.2000119686126709,0.16,0.013915777206420898,0.165,0.027584552764892578,0.195,1.458099603652954,0.195,9.315690517425537,0.32,8.692952871322632,0.195,10.72033977508545,0.08,9.817260265350342,0.26,2.5387115478515625,-4.0,0
0.385,0.0017461776733398438,0.38,0.03385639190673828,0.465,0.03427910804748535,0.45,0.38825345039367676,0.42,0.001216888427734375,0.46,0.03466510772705078,0.42,0.10668087005615234,0.175,0.010525703430175781,0.175,0.020144224166870117,0.22,1.5605018138885498,0.255,7.684884309768677,0.365,7.7305073738098145,0.175,10.716074466705322,0.175,13.617401599884033,0.205,2.3170905113220215,-4.0,1
0.385,0.0016031265258789062,0.335,0.03003668785095215,0.39,0.041254520416259766,0.4,0.4299633502960205,0.285,0.0012013912200927734,0.35,0.03206324577331543,0.37,0.0026574134826660156,0.125,0.010974645614624023,0.225,0.03931164741516113,0.22,1.451629400253296,0.225,4.381431818008423,0.315,4.193508863449097,0.225,5.794671058654785,0.095,7.913358211517334,0.255,2.7576167583465576,-4.0,2
0.345,0.0015354156494140625,0.38,0.03295135498046875,0.46,0.032735347747802734,0.46,0.40776538848876953,0.375,0.001178741455078125,0.42,0.03384804725646973,0.4,0.0024454593658447266,0.145,0.010445833206176758,0.145,0.007744789123535156,0.235,1.4471323490142822,0.295,6.930947303771973,0.34,7.8789238929748535,0.305,10.841280698776245,0.3,14.593929767608643,0.34,2.818542957305908,-4.0,3
0.315,0.001569986343383789,0.355,0.03455996513366699,0.35,0.04344797134399414,0.38,0.38021254539489746,0.365,0.0011725425720214844,0.39,0.03369474411010742,0.37,0.0024747848510742188,0.24,0.010383844375610352,0.24,0.02389240264892578,0.24,1.4836323261260986,0.32,4.199213027954102,0.24,4.182939052581787,0.195,5.972633361816406,0.29,8.280341863632202,0.275,1.6459555625915527,-4.0,4
0.32,0.0015978813171386719,0.3,0.03355717658996582,0.4,0.03613758087158203,0.435,0.4067094326019287,0.325,0.0012564659118652344,0.39,0.0352175235748291,0.41,0.0025207996368408203,0.195,0.010525226593017578,0.195,0.013547897338867188,0.13,1.4516582489013672,0.13,4.324651718139648,0.25,4.519787311553955,0.1,6.472308158874512,0.1,8.568759679794312,0.195,2.260283946990967,-4.0,5
0.325,0.0016283988952636719,0.37,0.03447294235229492,0.355,0.03757023811340332,0.365,0.42469072341918945,0.38,0.0012383460998535156,0.38,0.03333091735839844,0.315,0.002525806427001953,0.165,0.01057577133178711,0.11,0.00719904899597168,0.245,1.5019266605377197,0.255,4.57122802734375,0.32,4.552766561508179,0.035,6.051642179489136,0.245,8.409731149673462,0.285,2.8280584812164307,-4.0,6
0.275,0.0016589164733886719,0.245,0.03409409523010254,0.365,0.035490989685058594,0.355,0.4294569492340088,0.33,0.001377105712890625,0.325,0.03340744972229004,0.35,0.0025472640991210938,0.11,0.010707616806030273,0.11,0.011045217514038086,0.21,1.5311930179595947,0.14,4.492626667022705,0.22,4.381131172180176,0.22,6.242265939712524,0.11,8.386002779006958,0.21,2.5863170623779297,-4.0,7
0.355,0.0015358924865722656,0.325,0.033417463302612305,0.375,0.04473543167114258,0.395,0.4177868366241455,0.415,0.0012178421020507812,0.395,0.03307676315307617,0.37,0.0025436878204345703,0.17,0.010689973831176758,0.17,0.021123886108398438,0.25,1.502744197845459,0.255,4.465800762176514,0.335,4.381837844848633,0.255,6.160211563110352,0.255,8.158564329147339,0.28,2.4474263191223145,-4.0,8
0.29,0.001592397689819336,0.28,0.033660173416137695,0.29,0.04425168037414551,0.285,0.38543128967285156,0.325,0.0011928081512451172,0.325,0.03805065155029297,0.39,0.002644777297973633,0.135,0.01047658920288086,0.08,0.030192136764526367,0.22,1.4056758880615234,0.22,7.016326189041138,0.14,7.774686813354492,0.22,10.712120532989502,0.14,14.861186981201172,0.155,2.926503896713257,-4.0,9
