sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	dataset	seed	sklearn_dt_rmse	sklearn_rf_rmse	product_dt_rmse	product_rf_rmse	tangent_dt_rmse	tangent_rf_rmse	knn_rmse	ambient_mlp_rmse	ambient_gnn_rmse	kappa_gcn_rmse	product_mlr_rmse
0.835	0.835	0.0014612674713134766	0.875	0.875	0.03629469871520996	0.895	0.895	0.0312800407409668	0.925	0.925	0.3361194133758545	0.865	0.865	0.0011529922485351562	0.885	0.885	0.03367900848388672	0.95	0.95	0.002261638641357422	0.76	0.76	0.0033996105194091797	0.715	0.715	34.14513611793518	0.75	0.75	42.22631525993347	0.665	0.665	44.07838463783264	0.665	0.665	32.52739238739014	landmasses	0											
0.835	0.835	0.0013577938079833984	0.87	0.87	0.03342604637145996	0.865	0.865	0.02990412712097168	0.89	0.89	0.32224225997924805	0.855	0.855	0.001125335693359375	0.845	0.845	0.033020734786987305	0.925	0.925	0.0022652149200439453	0.685	0.685	0.0037565231323242188	0.705	0.705	35.39029145240784	0.805	0.805	44.22650933265686	0.775	0.775	44.044947385787964	0.635	0.635	32.15949845314026	landmasses	1											
0.87	0.87	0.0013973712921142578	0.885	0.885	0.4122180938720703	0.84	0.84	0.03746151924133301	0.885	0.885	0.30190205574035645	0.865	0.865	0.0010900497436523438	0.84	0.84	0.03444814682006836	0.905	0.905	0.0022852420806884766	0.65	0.65	0.004117727279663086	0.655	0.655	34.40014600753784	0.765	0.765	44.76016807556152	0.685	0.685	45.32151961326599	0.635	0.635	34.83671474456787	landmasses	2											
0.835	0.835	0.0013515949249267578	0.85	0.85	0.033889055252075195	0.865	0.865	0.026462793350219727	0.855	0.855	0.28466057777404785	0.88	0.88	0.0010936260223388672	0.835	0.835	0.03536534309387207	0.94	0.94	0.002295255661010742	0.665	0.665	0.0040967464447021484	0.67	0.67	34.00847887992859	0.735	0.735	43.49496531486511	0.77	0.77	45.635297536849976	0.63	0.63	33.941879749298096	landmasses	3											
0.82	0.82	0.0013947486877441406	0.87	0.87	0.03373312950134277	0.855	0.855	0.024921894073486328	0.89	0.89	0.29429125785827637	0.84	0.84	0.0011763572692871094	0.84	0.84	0.03250384330749512	0.915	0.915	0.0023424625396728516	0.71	0.71	0.0037779808044433594	0.725	0.725	34.17657446861267	0.77	0.77	44.92957639694214	0.66	0.66	43.72963213920593	0.66	0.66	33.963155031204224	landmasses	4											
0.87	0.87	0.0013699531555175781	0.895	0.895	0.03327441215515137	0.88	0.88	0.030655622482299805	0.88	0.88	0.3306410312652588	0.875	0.875	0.0011563301086425781	0.875	0.875	0.035266876220703125	0.92	0.92	0.0023360252380371094	0.72	0.72	0.003760099411010742	0.72	0.72	34.032636880874634	0.755	0.755	44.957561016082764	0.76	0.76	45.391875982284546	0.665	0.665	29.930835247039795	landmasses	5											
0.8	0.8	0.001413583755493164	0.81	0.81	0.03541445732116699	0.855	0.855	0.02568960189819336	0.82	0.82	0.2985115051269531	0.81	0.81	0.0011136531829833984	0.805	0.805	0.03443741798400879	0.875	0.875	0.0021588802337646484	0.69	0.69	0.004113674163818359	0.68	0.68	34.94207143783569	0.775	0.775	44.11175894737244	0.685	0.685	45.44986367225647	0.63	0.63	33.39508414268494	landmasses	6											
0.84	0.84	0.0013797283172607422	0.855	0.855	0.03401494026184082	0.91	0.91	0.026245594024658203	0.865	0.865	0.3141348361968994	0.845	0.845	0.0011243820190429688	0.845	0.845	0.03226327896118164	0.915	0.915	0.0023751258850097656	0.71	0.71	0.004157543182373047	0.695	0.695	34.3472101688385	0.8	0.8	43.67509913444519	0.635	0.635	44.40317702293396	0.65	0.65	32.44842886924744	landmasses	7											
0.825	0.825	0.0014519691467285156	0.815	0.815	0.033178091049194336	0.84	0.84	0.02644491195678711	0.88	0.88	0.30148935317993164	0.825	0.825	0.0011315345764160156	0.82	0.82	0.03452801704406738	0.915	0.915	0.0023560523986816406	0.72	0.72	0.003022432327270508	0.69	0.69	34.45458221435547	0.775	0.775	45.76932740211487	0.72	0.72	44.790345668792725	0.72	0.72	34.09561586380005	landmasses	8											
0.82	0.82	0.0013663768768310547	0.865	0.865	0.03420710563659668	0.845	0.845	0.02681255340576172	0.85	0.85	0.29881930351257324	0.855	0.855	0.0010881423950195312	0.865	0.865	0.03309893608093262	0.915	0.915	0.002290487289428711	0.675	0.675	0.003736734390258789	0.735	0.735	35.12159514427185	0.79	0.79	44.40518403053284	0.78	0.78	44.425848960876465	0.625	0.625	34.11821937561035	landmasses	9											
