sklearn_dt_f1-micro	 sklearn_dt_accuracy	 sklearn_dt_time   	 sklearn_rf_f1-micro	 sklearn_rf_accuracy	 sklearn_rf_time   	 product_dt_f1-micro	 product_dt_accuracy	 product_dt_time   	 product_rf_f1-micro	 product_rf_accuracy	 product_rf_time   	 tangent_dt_f1-micro	 tangent_dt_accuracy	 tangent_dt_time   	 tangent_rf_f1-micro	 tangent_rf_accuracy	 tangent_rf_time   	 knn_f1-micro      	 knn_accuracy      	 knn_time          	 ps_perceptron_f1-micro	 ps_perceptron_accuracy	 ps_perceptron_time	 ambient_mlp_f1-micro	 ambient_mlp_accuracy	 ambient_mlp_time  	 ambient_gnn_f1-micro	 ambient_gnn_accuracy	 ambient_gnn_time  	 kappa_gcn_f1-micro	 kappa_gcn_accuracy	 kappa_gcn_time     	 product_mlr_f1-micro	 product_mlr_accuracy	 product_mlr_time   	 task	 signature            	 dataset  	 table                 	 sklearn_dt_rmse    	 sklearn_rf_rmse    	 product_dt_rmse   	 product_rf_rmse   	 tangent_dt_rmse    	 tangent_rf_rmse    	 knn_rmse          	 ambient_mlp_rmse  	 ambient_gnn_rmse  	 kappa_gcn_rmse       	 product_mlr_rmse
 0.32              	  0.32              	 0.0017054080963134	  0.345             	  0.345             	 0.0359113216400146	  0.45              	  0.45              	 0.0401694774627685	  0.475             	  0.475             	 0.4423239231109619	  0.405             	  0.405             	 0.0012323856353759	  0.395             	  0.395             	 0.0390102863311767	 0.35              	 0.35              	 0.0029010772705078	     0.195             	     0.195             	 0.0114519596099853	   0.25              	   0.25              	 32.441208839416504	   0.195             	   0.195             	 40.33521437644959 	 0.215             	 0.215             	  38.031081438064575	   0.29              	   0.29              	  22.434604167938232	 C   	 $\S{2,-4.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.365             	  0.365             	 0.0018215179443359	  0.425             	  0.425             	 0.0330710411071777	  0.505             	  0.505             	 0.0348014831542968	  0.52              	  0.52              	 0.3966941833496094	  0.455             	  0.455             	 0.0012524127960205	  0.48              	  0.48              	 0.0329720973968505	 0.465             	 0.465             	 0.0028040409088134	     0.11              	     0.11              	 0.0110774040222167	   0.265             	   0.265             	 33.45683217048645 	   0.05              	   0.05              	 39.90337657928467 	 0.305             	 0.305             	  38.249510049819946	   0.295             	   0.295             	  21.99850869178772 	 C   	 $\S{2,-4.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.285             	  0.285             	 0.001918077468872 	  0.29              	  0.29              	 0.0346481800079345	  0.3               	  0.3               	 0.040778636932373 	  0.325             	  0.325             	 0.432321548461914 	  0.36              	  0.36              	 0.0013279914855957	  0.36              	  0.36              	 0.0340750217437744	 0.3               	 0.3               	 0.0026302337646484	     0.1               	     0.1               	 0.0111920833587646	   0.25              	   0.25              	 32.27519607543945 	   0.135             	   0.135             	 40.86621403694153 	 0.275             	 0.275             	  38.26605081558228 	   0.305             	   0.305             	  24.92356562614441 	 C   	 $\S{2,-4.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.365             	  0.365             	 0.0020632743835449	  0.36              	  0.36              	 0.0355920791625976	  0.375             	  0.375             	 0.0387470722198486	  0.445             	  0.445             	 0.4102261066436767	  0.365             	  0.365             	 0.0012800693511962	  0.385             	  0.385             	 0.0327379703521728	 0.37              	 0.37              	 0.0028088092803955	     0.135             	     0.135             	 0.0118603706359863	   0.3               	   0.3               	 32.098471879959106	   0.1               	   0.1               	 39.408686876297   	 0.255             	 0.255             	  37.55223298072815 	   0.26              	   0.26              	  23.14666724205017 	 C   	 $\S{2,-4.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.345             	  0.345             	 0.0016560554504394	  0.37              	  0.37              	 0.0334906578063964	  0.37              	  0.37              	 0.0346813201904296	  0.405             	  0.405             	 0.4012508392333984	  0.39              	  0.39              	 0.0012345314025878	  0.415             	  0.415             	 0.0379936695098876	 0.375             	 0.375             	 0.002664566040039 	     0.24              	     0.24              	 0.0106453895568847	   0.185             	   0.185             	 31.25592422485352 	   0.075             	   0.075             	 41.05784249305725 	 0.24              	 0.24              	  38.926058530807495	   0.215             	   0.215             	  22.75249052047729 	 C   	 $\S{2,-4.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.275             	  0.275             	 0.0018231868743896	  0.325             	  0.325             	 0.0322659015655517	  0.355             	  0.355             	 0.0336256027221679	  0.39              	  0.39              	 0.4323256015777588	  0.34              	  0.34              	 0.0012404918670654	  0.435             	  0.435             	 0.034043550491333 	 0.43              	 0.43              	 0.0025930404663085	     0.2               	     0.2               	 0.0106806755065917	   0.285             	   0.285             	 32.77316093444824 	   0.14              	   0.14              	 40.77766180038452 	 0.185             	 0.185             	  39.05385494232178 	   0.29              	   0.29              	  22.81130790710449 	 C   	 $\S{2,-4.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.28              	  0.28              	 0.001716136932373 	  0.31              	  0.31              	 0.032783031463623 	  0.345             	  0.345             	 0.043776512145996 	  0.38              	  0.38              	 0.429532527923584 	  0.305             	  0.305             	 0.0012710094451904	  0.34              	  0.34              	 0.0337636470794677	 0.33              	 0.33              	 0.0028908252716064	     0.215             	     0.215             	 0.0110390186309814	   0.3               	   0.3               	 31.0875244140625  	   0.13              	   0.13              	 41.60346961021423 	 0.29              	 0.29              	  38.13889598846436 	   0.225             	   0.225             	  22.371362447738647	 C   	 $\S{2,-4.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.31              	  0.31              	 0.0020442008972167	  0.315             	  0.315             	 0.0344829559326171	  0.425             	  0.425             	 0.040241003036499 	  0.385             	  0.385             	 0.4499256610870361	  0.38              	  0.38              	 0.0012464523315429	  0.375             	  0.375             	 0.0328621864318847	 0.325             	 0.325             	 0.003354787826538 	     0.115             	     0.115             	 0.0107724666595458	   0.2               	   0.2               	 32.2803852558136  	   0.165             	   0.165             	 41.46428632736206 	 0.255             	 0.255             	  38.49386191368103 	   0.29              	   0.29              	  22.36298441886902 	 C   	 $\S{2,-4.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.31              	  0.31              	 0.0017874240875244	  0.345             	  0.345             	 0.0338959693908691	  0.355             	  0.355             	 0.0340290069580078	  0.36              	  0.36              	 0.3881139755249023	  0.315             	  0.315             	 0.001462697982788 	  0.33              	  0.33              	 0.0333073139190673	 0.395             	 0.395             	 0.0028409957885742	     0.125             	     0.125             	 0.0107893943786621	   0.285             	   0.285             	 33.11613178253174 	   0.185             	   0.185             	 40.946887254714966	 0.22              	 0.22              	  39.79904675483704 	   0.235             	   0.235             	  25.967795610427856	 C   	 $\S{2,-4.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.265             	  0.265             	 0.0018370151519775	  0.25              	  0.25              	 0.0333878993988037	  0.315             	  0.315             	 0.0306007862091064	  0.375             	  0.375             	 0.3775944709777832	  0.31              	  0.31              	 0.00124192237854  	  0.31              	  0.31              	 0.0335161685943603	 0.365             	 0.365             	 0.0029053688049316	     0.12              	     0.12              	 0.0108065605163574	   0.205             	   0.205             	 32.640145778656006	   0.135             	   0.135             	 41.149638414382935	 0.15              	 0.15              	  39.18372821807861 	   0.275             	   0.275             	  29.054086685180664	 C   	 $\S{2,-4.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
 0.335             	  0.335             	 0.0019292831420898	  0.35              	  0.35              	 0.0324091911315918	  0.345             	  0.345             	 0.0343110561370849	  0.37              	  0.37              	 0.4093208312988281	  0.405             	  0.405             	 0.0012292861938476	  0.38              	  0.38              	 0.0330269336700439	 0.365             	 0.365             	 0.0036828517913818	     0.185             	     0.185             	 0.0107676982879638	   0.31              	   0.31              	 32.08802580833435 	   0.245             	   0.245             	 40.74472141265869 	 0.315             	 0.315             	  38.76256394386292 	   0.245             	   0.245             	  23.15174674987793 	 C   	 $\S{2,-2.0}$         	 Gaussian 	 Synthetic (single $K$)	                    	                    	                   	                   	                    	                    	                   	                   	                   	                      	     
