sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	signature	seed
0.395	0.395	0.0054051876068115234	0.385	0.385	0.027883529663085938	0.35	0.35	0.15484261512756348	0.33	0.33	0.48963212966918945	0.37	0.37	0.002131938934326172	0.36	0.36	0.029404401779174805	0.38	0.38	0.8134908676147461	0.16	0.16	0.024083375930786133	0.2	0.2	39.441083908081055	0.165	0.165	44.625027656555176	0.165	0.165	69.65037441253662	0.18	0.18	35.76715588569641	HH	0
0.335	0.335	0.0028009414672851562	0.375	0.375	0.02648448944091797	0.37	0.37	0.040651798248291016	0.42	0.42	0.4312443733215332	0.365	0.365	0.0021152496337890625	0.37	0.37	0.027395248413085938	0.37	0.37	0.0043947696685791016	0.185	0.185	0.01225900650024414	0.355	0.355	32.687471866607666	0.215	0.215	41.31801462173462	0.22	0.22	67.35112500190735	0.345	0.345	35.50418019294739	HH	1
0.37	0.37	0.0027306079864501953	0.36	0.36	0.027567625045776367	0.365	0.365	0.04186391830444336	0.4	0.4	0.46566057205200195	0.38	0.38	0.002036571502685547	0.415	0.415	0.027556896209716797	0.42	0.42	0.003598928451538086	0.155	0.155	0.012026548385620117	0.37	0.37	32.592002391815186	0.205	0.205	41.480836391448975	0.32	0.32	66.93535852432251	0.375	0.375	35.7439181804657	HH	2
0.38	0.38	0.002877473831176758	0.42	0.42	0.026812314987182617	0.37	0.37	0.034583330154418945	0.405	0.405	0.44652533531188965	0.38	0.38	0.002081632614135742	0.42	0.42	0.02689957618713379	0.44	0.44	0.00339508056640625	0.13	0.13	0.01204061508178711	0.265	0.265	32.9875226020813	0.19	0.19	41.210800886154175	0.2	0.2	67.57875943183899	0.29	0.29	36.270776987075806	HH	3
0.355	0.355	0.0027544498443603516	0.36	0.36	0.028095722198486328	0.34	0.34	0.041368722915649414	0.335	0.335	0.45365333557128906	0.38	0.38	0.0020444393157958984	0.385	0.385	0.027500391006469727	0.37	0.37	0.0034270286560058594	0.125	0.125	0.011997222900390625	0.245	0.245	32.638033390045166	0.245	0.245	41.15361309051514	0.265	0.265	67.2266697883606	0.255	0.255	36.172476053237915	HH	4
0.335	0.335	0.0029091835021972656	0.365	0.365	0.026730060577392578	0.36	0.36	0.040212392807006836	0.435	0.435	0.4555485248565674	0.345	0.345	0.0020809173583984375	0.385	0.385	0.0288999080657959	0.435	0.435	0.0034301280975341797	0.15	0.15	0.012327432632446289	0.295	0.295	32.58603596687317	0.255	0.255	41.44004583358765	0.24	0.24	67.53473091125488	0.3	0.3	35.878992557525635	HH	5
0.285	0.285	0.0028073787689208984	0.37	0.37	0.02663588523864746	0.285	0.285	0.0415034294128418	0.34	0.34	0.44698357582092285	0.315	0.315	0.002073049545288086	0.33	0.33	0.028034210205078125	0.38	0.38	0.0034182071685791016	0.14	0.14	0.011935949325561523	0.335	0.335	32.90358257293701	0.205	0.205	41.459147930145264	0.19	0.19	67.49975228309631	0.26	0.26	36.095898389816284	HH	6
0.385	0.385	0.0028111934661865234	0.325	0.325	0.028810739517211914	0.36	0.36	0.04233193397521973	0.395	0.395	0.4621095657348633	0.355	0.355	0.0022308826446533203	0.36	0.36	0.027391672134399414	0.405	0.405	0.0038030147552490234	0.205	0.205	0.012632369995117188	0.34	0.34	33.1631805896759	0.23	0.23	41.35257363319397	0.235	0.235	67.4517936706543	0.29	0.29	35.879199743270874	HH	7
0.4	0.4	0.002773284912109375	0.435	0.435	0.0265047550201416	0.41	0.41	0.039155006408691406	0.465	0.465	0.45372796058654785	0.435	0.435	0.0020461082458496094	0.465	0.465	0.14877891540527344	0.39	0.39	0.0036754608154296875	0.14	0.14	0.012148857116699219	0.37	0.37	32.501182079315186	0.27	0.27	41.13894033432007	0.325	0.325	67.1926896572113	0.36	0.36	35.88033080101013	HH	8
0.36	0.36	0.0028078556060791016	0.375	0.375	0.027154207229614258	0.35	0.35	0.039443254470825195	0.435	0.435	0.4221808910369873	0.345	0.345	0.0020618438720703125	0.38	0.38	0.027621746063232422	0.46	0.46	0.003421306610107422	0.19	0.19	0.012392759323120117	0.375	0.375	32.86455178260803	0.27	0.27	41.31713366508484	0.27	0.27	67.02479386329651	0.33	0.33	36.47532033920288	HH	9
0.385	0.385	0.002703428268432617	0.45	0.45	0.02755451202392578	0.405	0.405	0.0394597053527832	0.41	0.41	0.4385793209075928	0.415	0.415	0.0020971298217773438	0.445	0.445	0.026991605758666992	0.43	0.43	0.004194974899291992	0.27	0.27	0.012701034545898438	0.385	0.385	35.92985796928406	0.32	0.32	44.101500511169434	0.26	0.26	59.28028059005737	0.375	0.375	31.526314735412598	HE	10
0.29	0.29	0.002412557601928711	0.305	0.305	0.026918411254882812	0.275	0.275	0.03991508483886719	0.355	0.355	0.42214322090148926	0.33	0.33	0.0020592212677001953	0.35	0.35	0.029255390167236328	0.275	0.275	0.003062725067138672	0.18	0.18	0.012308120727539062	0.25	0.25	35.0615975856781	0.24	0.24	44.29824447631836	0.22	0.22	60.08739519119263	0.21	0.21	31.146722555160522	HE	11
0.355	0.355	0.0024466514587402344	0.34	0.34	0.027099132537841797	0.275	0.275	0.04296159744262695	0.35	0.35	0.45874834060668945	0.39	0.39	0.0020809173583984375	0.36	0.36	0.026639938354492188	0.365	0.365	0.0032143592834472656	0.21	0.21	0.012502193450927734	0.35	0.35	35.020305156707764	0.295	0.295	44.21159219741821	0.265	0.265	59.49401307106018	0.33	0.33	31.399938106536865	HE	12
0.27	0.27	0.0024738311767578125	0.315	0.315	0.027166366577148438	0.26	0.26	0.04102301597595215	0.32	0.32	0.41447949409484863	0.305	0.305	0.0021207332611083984	0.315	0.315	0.02711772918701172	0.34	0.34	0.002991914749145508	0.13	0.13	0.012151002883911133	0.215	0.215	34.91170787811279	0.165	0.165	43.964308977127075	0.165	0.165	59.77886343002319	0.195	0.195	31.108319520950317	HE	13
0.385	0.385	0.002462625503540039	0.46	0.46	0.026457786560058594	0.365	0.365	0.03678488731384277	0.48	0.48	0.435377836227417	0.41	0.41	0.00206756591796875	0.44	0.44	0.0272519588470459	0.465	0.465	0.0031363964080810547	0.12	0.12	0.012403249740600586	0.385	0.385	34.96695256233215	0.32	0.32	43.93565368652344	0.325	0.325	59.27166223526001	0.395	0.395	30.888103723526	HE	14
0.37	0.37	0.0023987293243408203	0.42	0.42	0.028130531311035156	0.345	0.345	0.03592705726623535	0.43	0.43	0.4034590721130371	0.39	0.39	0.0020406246185302734	0.405	0.405	0.02630162239074707	0.435	0.435	0.002965688705444336	0.27	0.27	0.01199650764465332	0.345	0.345	35.3661413192749	0.28	0.28	44.0155930519104	0.285	0.285	59.207202672958374	0.345	0.345	31.008362531661987	HE	15
0.375	0.375	0.002537250518798828	0.415	0.415	0.026456117630004883	0.41	0.41	0.04134488105773926	0.5	0.5	0.45252323150634766	0.425	0.425	0.002030611038208008	0.385	0.385	0.027811765670776367	0.485	0.485	0.002974987030029297	0.275	0.275	0.012004852294921875	0.325	0.325	35.26341199874878	0.28	0.28	43.91891670227051	0.3	0.3	59.32822895050049	0.325	0.325	31.132996559143066	HE	16
0.36	0.36	0.0024030208587646484	0.365	0.365	0.02634429931640625	0.395	0.395	0.03924870491027832	0.445	0.445	0.4393744468688965	0.36	0.36	0.002036571502685547	0.425	0.425	0.026915311813354492	0.38	0.38	0.003194093704223633	0.2	0.2	0.012475252151489258	0.295	0.295	34.975456953048706	0.3	0.3	44.5952250957489	0.24	0.24	59.251702547073364	0.275	0.275	30.992125988006592	HE	17
0.275	0.275	0.0024094581604003906	0.31	0.31	0.02629256248474121	0.32	0.32	0.041689157485961914	0.36	0.36	0.4186439514160156	0.34	0.34	0.002017974853515625	0.31	0.31	0.026297569274902344	0.32	0.32	0.0031375885009765625	0.085	0.085	0.012173652648925781	0.265	0.265	34.94119644165039	0.26	0.26	44.322943687438965	0.19	0.19	59.8250048160553	0.285	0.285	31.195165872573853	HE	18
0.4	0.4	0.002463817596435547	0.475	0.475	0.026794910430908203	0.435	0.435	0.04020571708679199	0.47	0.47	0.44488954544067383	0.43	0.43	0.002065896987915039	0.475	0.475	0.027934551239013672	0.49	0.49	0.003214120864868164	0.33	0.33	0.012223958969116211	0.405	0.405	34.98254370689392	0.32	0.32	44.371098041534424	0.275	0.275	59.40547847747803	0.405	0.405	31.04926371574402	HE	19
0.305	0.305	0.002978086471557617	0.29	0.29	0.027119874954223633	0.285	0.285	0.03505516052246094	0.275	0.275	0.38554930686950684	0.265	0.265	0.0020096302032470703	0.315	0.315	0.0269012451171875	0.325	0.325	0.0036842823028564453	0.165	0.165	0.018430233001708984	0.285	0.285	32.765119791030884	0.215	0.215	41.570804834365845	0.17	0.17	70.74437427520752	0.165	0.165	35.467926263809204	HS	20
0.345	0.345	0.0027456283569335938	0.385	0.385	0.02682042121887207	0.385	0.385	0.03747725486755371	0.38	0.38	0.4147062301635742	0.36	0.36	0.002063274383544922	0.365	0.365	0.02667999267578125	0.43	0.43	0.004301309585571289	0.215	0.215	0.012015581130981445	0.295	0.295	32.522732973098755	0.225	0.225	41.15212869644165	0.28	0.28	70.50277781486511	0.29	0.29	35.62139964103699	HS	21
0.405	0.405	0.0028417110443115234	0.48	0.48	0.030179738998413086	0.475	0.475	0.04193115234375	0.445	0.445	0.4546787738800049	0.425	0.425	0.002016782760620117	0.475	0.475	0.02660393714904785	0.495	0.495	0.0032188892364501953	0.195	0.195	0.012047767639160156	0.39	0.39	32.77078676223755	0.32	0.32	41.227906227111816	0.075	0.075	70.97453761100769	0.075	0.075	35.09246492385864	HS	22
0.27	0.27	0.0027914047241210938	0.335	0.335	0.027000904083251953	0.33	0.33	0.03991365432739258	0.335	0.335	0.45390748977661133	0.3	0.3	0.0020303726196289062	0.345	0.345	0.027361392974853516	0.315	0.315	0.003197193145751953	0.155	0.155	0.012027502059936523	0.245	0.245	32.59608864784241	0.215	0.215	41.21865272521973	0.155	0.155	70.54030871391296	0.26	0.26	35.764042139053345	HS	23
0.32	0.32	0.002796649932861328	0.305	0.305	0.028058290481567383	0.315	0.315	0.040907859802246094	0.33	0.33	0.480665922164917	0.31	0.31	0.002034425735473633	0.315	0.315	0.02740621566772461	0.25	0.25	0.004361867904663086	0.14	0.14	0.012328624725341797	0.27	0.27	32.84510397911072	0.18	0.18	41.29324388504028	0.2	0.2	70.63360214233398	0.165	0.165	35.481505155563354	HS	24
0.385	0.385	0.0027904510498046875	0.445	0.445	0.027339696884155273	0.4	0.4	0.0389864444732666	0.43	0.43	0.4288907051086426	0.395	0.395	0.0020308494567871094	0.445	0.445	0.02686309814453125	0.485	0.485	0.0030770301818847656	0.28	0.28	0.011850833892822266	0.42	0.42	32.85609316825867	0.195	0.195	41.792041540145874	0.14	0.14	70.46494054794312	0.14	0.14	35.49543809890747	HS	25
0.35	0.35	0.002857685089111328	0.38	0.38	0.02637505531311035	0.365	0.365	0.041922569274902344	0.41	0.41	0.4071950912475586	0.325	0.325	0.0020368099212646484	0.405	0.405	0.02677011489868164	0.385	0.385	0.003246307373046875	0.2	0.2	0.012336969375610352	0.335	0.335	32.928805112838745	0.19	0.19	41.341870069503784	0.1	0.1	70.7834243774414	0.275	0.275	35.450385093688965	HS	26
0.37	0.37	0.0028035640716552734	0.43	0.43	0.026732683181762695	0.365	0.365	0.038787126541137695	0.415	0.415	0.4141054153442383	0.38	0.38	0.0020232200622558594	0.405	0.405	0.027101993560791016	0.425	0.425	0.0032100677490234375	0.17	0.17	0.012181758880615234	0.315	0.315	32.52856492996216	0.23	0.23	40.74833106994629	0.225	0.225	70.86440896987915	0.105	0.105	35.58233428001404	HS	27
0.355	0.355	0.002789735794067383	0.38	0.38	0.027782678604125977	0.335	0.335	0.0370330810546875	0.345	0.345	0.4380970001220703	0.345	0.345	0.0020422935485839844	0.305	0.305	0.02670454978942871	0.35	0.35	0.0032014846801757812	0.175	0.175	0.012148380279541016	0.335	0.335	32.525036573410034	0.22	0.22	41.10270643234253	0.03	0.03	70.31610870361328	0.03	0.03	35.569987058639526	HS	28
