sklearn_dt_f1-micro	sklearn_dt_accuracy	sklearn_dt_time	sklearn_rf_f1-micro	sklearn_rf_accuracy	sklearn_rf_time	product_dt_f1-micro	product_dt_accuracy	product_dt_time	product_rf_f1-micro	product_rf_accuracy	product_rf_time	tangent_dt_f1-micro	tangent_dt_accuracy	tangent_dt_time	tangent_rf_f1-micro	tangent_rf_accuracy	tangent_rf_time	knn_f1-micro	knn_accuracy	knn_time	ps_perceptron_f1-micro	ps_perceptron_accuracy	ps_perceptron_time	ambient_mlp_f1-micro	ambient_mlp_accuracy	ambient_mlp_time	ambient_gnn_f1-micro	ambient_gnn_accuracy	ambient_gnn_time	kappa_gcn_f1-micro	kappa_gcn_accuracy	kappa_gcn_time	product_mlr_f1-micro	product_mlr_accuracy	product_mlr_time	curvature	seed
0.32	0.32	0.0017054080963134766	0.345	0.345	0.03591132164001465	0.45	0.45	0.040169477462768555	0.475	0.475	0.4423239231109619	0.405	0.405	0.0012323856353759766	0.395	0.395	0.03901028633117676	0.35	0.35	0.0029010772705078125	0.195	0.195	0.011451959609985352	0.25	0.25	32.441208839416504	0.195	0.195	40.335214376449585	0.215	0.215	38.031081438064575	0.29	0.29	22.434604167938232	-4.0	0
0.365	0.365	0.0018215179443359375	0.425	0.425	0.033071041107177734	0.505	0.505	0.034801483154296875	0.52	0.52	0.3966941833496094	0.455	0.455	0.0012524127960205078	0.48	0.48	0.032972097396850586	0.465	0.465	0.0028040409088134766	0.11	0.11	0.011077404022216797	0.265	0.265	33.45683217048645	0.05	0.05	39.90337657928467	0.305	0.305	38.249510049819946	0.295	0.295	21.99850869178772	-4.0	1
0.285	0.285	0.0019180774688720703	0.29	0.29	0.03464818000793457	0.3	0.3	0.04077863693237305	0.325	0.325	0.43232154846191406	0.36	0.36	0.0013279914855957031	0.36	0.36	0.034075021743774414	0.3	0.3	0.0026302337646484375	0.1	0.1	0.011192083358764648	0.25	0.25	32.27519607543945	0.135	0.135	40.86621403694153	0.275	0.275	38.266050815582275	0.305	0.305	24.92356562614441	-4.0	2
0.365	0.365	0.002063274383544922	0.36	0.36	0.035592079162597656	0.375	0.375	0.03874707221984863	0.445	0.445	0.41022610664367676	0.365	0.365	0.001280069351196289	0.385	0.385	0.03273797035217285	0.37	0.37	0.002808809280395508	0.135	0.135	0.011860370635986328	0.3	0.3	32.098471879959106	0.1	0.1	39.408686876297	0.255	0.255	37.55223298072815	0.26	0.26	23.14666724205017	-4.0	3
0.345	0.345	0.0016560554504394531	0.37	0.37	0.033490657806396484	0.37	0.37	0.03468132019042969	0.405	0.405	0.40125083923339844	0.39	0.39	0.0012345314025878906	0.415	0.415	0.037993669509887695	0.375	0.375	0.0026645660400390625	0.24	0.24	0.010645389556884766	0.185	0.185	31.255924224853516	0.075	0.075	41.05784249305725	0.24	0.24	38.926058530807495	0.215	0.215	22.752490520477295	-4.0	4
0.275	0.275	0.0018231868743896484	0.325	0.325	0.03226590156555176	0.355	0.355	0.03362560272216797	0.39	0.39	0.4323256015777588	0.34	0.34	0.0012404918670654297	0.435	0.435	0.03404355049133301	0.43	0.43	0.0025930404663085938	0.2	0.2	0.010680675506591797	0.285	0.285	32.77316093444824	0.14	0.14	40.77766180038452	0.185	0.185	39.05385494232178	0.29	0.29	22.811307907104492	-4.0	5
0.28	0.28	0.0017161369323730469	0.31	0.31	0.03278303146362305	0.345	0.345	0.043776512145996094	0.38	0.38	0.429532527923584	0.305	0.305	0.0012710094451904297	0.34	0.34	0.03376364707946777	0.33	0.33	0.0028908252716064453	0.215	0.215	0.011039018630981445	0.3	0.3	31.0875244140625	0.13	0.13	41.60346961021423	0.29	0.29	38.138895988464355	0.225	0.225	22.371362447738647	-4.0	6
0.31	0.31	0.002044200897216797	0.315	0.315	0.03448295593261719	0.425	0.425	0.04024100303649902	0.385	0.385	0.44992566108703613	0.38	0.38	0.0012464523315429688	0.375	0.375	0.032862186431884766	0.325	0.325	0.003354787826538086	0.115	0.115	0.010772466659545898	0.2	0.2	32.2803852558136	0.165	0.165	41.46428632736206	0.255	0.255	38.49386191368103	0.29	0.29	22.36298441886902	-4.0	7
0.31	0.31	0.001787424087524414	0.345	0.345	0.03389596939086914	0.355	0.355	0.03402900695800781	0.36	0.36	0.38811397552490234	0.315	0.315	0.001462697982788086	0.33	0.33	0.03330731391906738	0.395	0.395	0.0028409957885742188	0.125	0.125	0.01078939437866211	0.285	0.285	33.11613178253174	0.185	0.185	40.946887254714966	0.22	0.22	39.799046754837036	0.235	0.235	25.967795610427856	-4.0	8
0.265	0.265	0.001837015151977539	0.25	0.25	0.03338789939880371	0.315	0.315	0.030600786209106445	0.375	0.375	0.3775944709777832	0.31	0.31	0.001241922378540039	0.31	0.31	0.03351616859436035	0.365	0.365	0.0029053688049316406	0.12	0.12	0.010806560516357422	0.205	0.205	32.640145778656006	0.135	0.135	41.149638414382935	0.15	0.15	39.18372821807861	0.275	0.275	29.054086685180664	-4.0	9
0.335	0.335	0.0019292831420898438	0.35	0.35	0.0324091911315918	0.345	0.345	0.03431105613708496	0.37	0.37	0.4093208312988281	0.405	0.405	0.0012292861938476562	0.38	0.38	0.033026933670043945	0.365	0.365	0.003682851791381836	0.185	0.185	0.010767698287963867	0.31	0.31	32.08802580833435	0.245	0.245	40.74472141265869	0.315	0.315	38.762563943862915	0.245	0.245	23.15174674987793	-2.0	10
0.27	0.27	0.001669168472290039	0.265	0.265	0.033971309661865234	0.335	0.335	0.03885984420776367	0.35	0.35	0.42888545989990234	0.27	0.27	0.0012669563293457031	0.31	0.31	0.03304767608642578	0.3	0.3	0.002730846405029297	0.165	0.165	0.010791778564453125	0.23	0.23	32.46807026863098	0.13	0.13	41.05263614654541	0.205	0.205	39.056726932525635	0.225	0.225	22.480578184127808	-2.0	11
0.27	0.27	0.001960277557373047	0.325	0.325	0.03409552574157715	0.295	0.295	0.036837100982666016	0.325	0.325	0.41890430450439453	0.305	0.305	0.0012359619140625	0.33	0.33	0.03582024574279785	0.32	0.32	0.002637147903442383	0.135	0.135	0.010669231414794922	0.265	0.265	32.56288194656372	0.115	0.115	40.71457052230835	0.19	0.19	38.65605807304382	0.21	0.21	24.110960721969604	-2.0	12
0.3	0.3	0.0019719600677490234	0.305	0.305	0.035249948501586914	0.31	0.31	0.03649425506591797	0.33	0.33	0.42415785789489746	0.3	0.3	0.0012488365173339844	0.325	0.325	0.03343796730041504	0.285	0.285	0.0027840137481689453	0.14	0.14	0.010701894760131836	0.19	0.19	31.799943208694458	0.18	0.18	41.24741888046265	0.18	0.18	39.605292320251465	0.225	0.225	24.783273935317993	-2.0	13
0.3	0.3	0.001692056655883789	0.36	0.36	0.03385138511657715	0.34	0.34	0.03989720344543457	0.335	0.335	0.4120910167694092	0.39	0.39	0.001293182373046875	0.34	0.34	0.035961151123046875	0.375	0.375	0.003953218460083008	0.16	0.16	0.011180877685546875	0.285	0.285	32.24832224845886	0.175	0.175	40.736063718795776	0.2	0.2	37.77882266044617	0.26	0.26	24.775618076324463	-2.0	14
0.31	0.31	0.0017592906951904297	0.295	0.295	0.034154415130615234	0.34	0.34	0.04085135459899902	0.385	0.385	0.4458143711090088	0.34	0.34	0.0013289451599121094	0.34	0.34	0.034160614013671875	0.395	0.395	0.0026493072509765625	0.155	0.155	0.011498451232910156	0.21	0.21	32.667515993118286	0.165	0.165	40.633424043655396	0.195	0.195	39.078118085861206	0.24	0.24	26.44998002052307	-2.0	15
0.4	0.4	0.002089262008666992	0.365	0.365	0.03331255912780762	0.42	0.42	0.041924476623535156	0.425	0.425	0.42755794525146484	0.44	0.44	0.0014095306396484375	0.5	0.5	0.03410625457763672	0.405	0.405	0.002748250961303711	0.175	0.175	0.01157069206237793	0.32	0.32	32.20751929283142	0.285	0.285	40.28097653388977	0.29	0.29	39.14758348464966	0.335	0.335	24.04409170150757	-2.0	16
0.28	0.28	0.0018143653869628906	0.31	0.31	0.035181283950805664	0.41	0.41	0.03781914710998535	0.395	0.395	0.43602466583251953	0.31	0.31	0.0015065670013427734	0.355	0.355	0.03208732604980469	0.36	0.36	0.002756357192993164	0.14	0.14	0.010932683944702148	0.235	0.235	32.32536578178406	0.275	0.275	40.940343141555786	0.25	0.25	39.57876133918762	0.275	0.275	25.00429344177246	-2.0	17
0.425	0.425	0.001636505126953125	0.44	0.44	0.03312325477600098	0.46	0.46	0.040367841720581055	0.48	0.48	0.4292881488800049	0.465	0.465	0.0012247562408447266	0.485	0.485	0.0340886116027832	0.385	0.385	0.002710580825805664	0.125	0.125	0.01112055778503418	0.34	0.34	32.40406823158264	0.17	0.17	40.126564741134644	0.42	0.42	38.76255130767822	0.485	0.485	22.528751134872437	-2.0	18
0.445	0.445	0.0017917156219482422	0.415	0.415	0.03213071823120117	0.45	0.45	0.040479183197021484	0.5	0.5	0.4280431270599365	0.48	0.48	0.0013513565063476562	0.51	0.51	0.03430628776550293	0.49	0.49	0.002612590789794922	0.155	0.155	0.01152348518371582	0.32	0.32	32.95534539222717	0.235	0.235	40.65970253944397	0.295	0.295	38.6139018535614	0.285	0.285	27.13155460357666	-2.0	19
0.325	0.325	0.0018148422241210938	0.325	0.325	0.034562110900878906	0.345	0.345	0.03789258003234863	0.37	0.37	0.4177262783050537	0.365	0.365	0.0012257099151611328	0.39	0.39	0.03449702262878418	0.31	0.31	0.0028235912322998047	0.125	0.125	0.011252403259277344	0.33	0.33	33.11115050315857	0.295	0.295	40.9876594543457	0.31	0.31	40.187862396240234	0.315	0.315	25.123867511749268	-1.0	20
0.395	0.395	0.0018222332000732422	0.39	0.39	0.03376936912536621	0.395	0.395	0.035010337829589844	0.435	0.435	0.4014608860015869	0.375	0.375	0.0012359619140625	0.405	0.405	0.03586316108703613	0.36	0.36	0.002619028091430664	0.175	0.175	0.011448860168457031	0.36	0.36	32.519848108291626	0.41	0.41	41.36056995391846	0.33	0.33	40.37850999832153	0.38	0.38	23.84581184387207	-1.0	21
0.295	0.295	0.001837015151977539	0.315	0.315	0.032883644104003906	0.31	0.31	0.04000449180603027	0.335	0.335	0.396303653717041	0.315	0.315	0.0012645721435546875	0.355	0.355	0.034574270248413086	0.345	0.345	0.0027551651000976562	0.09	0.09	0.011334657669067383	0.24	0.24	33.18351912498474	0.165	0.165	41.70272397994995	0.245	0.245	39.39232397079468	0.215	0.215	22.580913305282593	-1.0	22
0.27	0.27	0.0016765594482421875	0.275	0.275	0.032541513442993164	0.29	0.29	0.03764462471008301	0.31	0.31	0.41996216773986816	0.275	0.275	0.0012531280517578125	0.25	0.25	0.031790733337402344	0.27	0.27	0.0026407241821289062	0.12	0.12	0.011670112609863281	0.195	0.195	32.65666699409485	0.305	0.305	40.263925075531006	0.195	0.195	39.1091468334198	0.195	0.195	23.96927762031555	-1.0	23
0.27	0.27	0.0016810894012451172	0.235	0.235	0.03279590606689453	0.29	0.29	0.03773379325866699	0.3	0.3	0.4196324348449707	0.27	0.27	0.001233816146850586	0.285	0.285	0.034425973892211914	0.325	0.325	0.0026443004608154297	0.13	0.13	0.0109405517578125	0.185	0.185	32.46740245819092	0.16	0.16	40.903281927108765	0.23	0.23	38.373353481292725	0.21	0.21	22.265565872192383	-1.0	24
0.32	0.32	0.0016911029815673828	0.385	0.385	0.03288078308105469	0.325	0.325	0.03994131088256836	0.355	0.355	0.424959659576416	0.345	0.345	0.0012333393096923828	0.395	0.395	0.035317182540893555	0.37	0.37	0.002763986587524414	0.16	0.16	0.011016845703125	0.29	0.29	33.25530672073364	0.23	0.23	40.76964044570923	0.245	0.245	39.24956727027893	0.28	0.28	25.315318822860718	-1.0	25
0.295	0.295	0.0017027854919433594	0.335	0.335	0.03195929527282715	0.35	0.35	0.038002967834472656	0.39	0.39	0.4060046672821045	0.345	0.345	0.001216888427734375	0.385	0.385	0.03492140769958496	0.38	0.38	0.0029075145721435547	0.205	0.205	0.011099576950073242	0.22	0.22	32.26918411254883	0.175	0.175	40.77335262298584	0.26	0.26	38.44288682937622	0.235	0.235	23.88963794708252	-1.0	26
0.325	0.325	0.0016770362854003906	0.34	0.34	0.03537940979003906	0.375	0.375	0.04065394401550293	0.325	0.325	0.4161667823791504	0.32	0.32	0.0012705326080322266	0.345	0.345	0.03224515914916992	0.28	0.28	0.0028939247131347656	0.205	0.205	0.01155853271484375	0.225	0.225	32.140061140060425	0.135	0.135	41.30979108810425	0.275	0.275	40.0887348651886	0.25	0.25	24.979196310043335	-1.0	27
0.205	0.205	0.0017085075378417969	0.28	0.28	0.03232097625732422	0.3	0.3	0.038605451583862305	0.29	0.29	0.4191608428955078	0.25	0.25	0.0012600421905517578	0.27	0.27	0.03512978553771973	0.25	0.25	0.002718210220336914	0.15	0.15	0.010672569274902344	0.245	0.245	32.805765867233276	0.195	0.195	40.99695348739624	0.185	0.185	38.947752952575684	0.195	0.195	24.913459062576294	-1.0	28
0.36	0.36	0.0019974708557128906	0.345	0.345	0.033017873764038086	0.37	0.37	0.0385584831237793	0.34	0.34	0.41498589515686035	0.32	0.32	0.0012784004211425781	0.385	0.385	0.032602548599243164	0.41	0.41	0.002795696258544922	0.12	0.12	0.010723590850830078	0.265	0.265	33.5798237323761	0.205	0.205	40.61746788024902	0.245	0.245	39.71245813369751	0.255	0.255	24.182722806930542	-1.0	29
