sklearn_dt_accuracy	sklearn_dt_f1-micro	sklearn_dt_time	sklearn_rf_accuracy	sklearn_rf_f1-micro	sklearn_rf_time	product_dt_accuracy	product_dt_f1-micro	product_dt_time	product_rf_accuracy	product_rf_f1-micro	product_rf_time	tangent_dt_accuracy	tangent_dt_f1-micro	tangent_dt_time	tangent_rf_accuracy	tangent_rf_f1-micro	tangent_rf_time	knn_accuracy	knn_f1-micro	knn_time	ps_perceptron_accuracy	ps_perceptron_f1-micro	ps_perceptron_time	ambient_mlp_accuracy	ambient_mlp_f1-micro	ambient_mlp_time	ambient_gnn_accuracy	ambient_gnn_f1-micro	ambient_gnn_time	kappa_gcn_accuracy	kappa_gcn_f1-micro	kappa_gcn_time	product_mlr_accuracy	product_mlr_f1-micro	product_mlr_time	seed
0.615	0.615	0.0025696754455566406	0.6125	0.6125	0.03328371047973633	0.62	0.62	0.0793004035949707	0.59	0.59	0.3261728286743164	0.5975	0.5975	0.0018210411071777344	0.6025	0.6025	0.03412294387817383	0.4925	0.4925	0.011197328567504883	0.5075	0.5075	0.017776012420654297	0.4925	0.4925	37.76209616661072	0.4925	0.4925	47.68458604812622	0.4925	0.4925	126.59827971458435	0.4925	0.4925	86.16628241539001	0
0.6025	0.6025	0.0023458003997802734	0.6225	0.6225	0.03212380409240723	0.6025	0.6025	0.027924776077270508	0.615	0.615	0.31763458251953125	0.6025	0.6025	0.0017533302307128906	0.59	0.59	0.03475642204284668	0.4975	0.4975	0.005046844482421875	0.5025	0.5025	0.003751993179321289	0.4975	0.4975	37.50204300880432	0.4975	0.4975	47.83095741271973	0.4975	0.4975	125.17597436904907	0.4975	0.4975	85.3123197555542	1
0.595	0.595	0.0023932456970214844	0.645	0.645	0.03394508361816406	0.6	0.6	0.03068375587463379	0.625	0.625	0.31470823287963867	0.5875	0.5875	0.001775979995727539	0.5875	0.5875	0.0321652889251709	0.5325	0.5325	0.005032539367675781	0.5325	0.5325	0.0037450790405273438	0.4675	0.4675	36.27793312072754	0.4675	0.4675	48.30568885803223	0.4675	0.4675	126.64640474319458	0.4675	0.4675	85.51634788513184	2
0.595	0.595	0.0024487972259521484	0.5775	0.5775	0.0335688591003418	0.595	0.595	0.03284454345703125	0.59	0.59	0.33607912063598633	0.565	0.565	0.001768350601196289	0.5825	0.5825	0.03468656539916992	0.5175	0.5175	0.0050601959228515625	0.5175	0.5175	0.0037505626678466797	0.4825	0.4825	38.32337498664856	0.4825	0.4825	48.578129529953	0.4825	0.4825	126.35026860237122	0.4825	0.4825	86.14960360527039	3
0.61	0.61	0.0024187564849853516	0.655	0.655	0.032854557037353516	0.61	0.61	0.029597043991088867	0.645	0.645	0.3335530757904053	0.5675	0.5675	0.0017240047454833984	0.5925	0.5925	0.033660173416137695	0.5	0.5	0.005077838897705078	0.5	0.5	0.003770112991333008	0.605	0.605	37.55997443199158	0.5	0.5	48.30894327163696	0.5	0.5	126.43583726882935	0.5825	0.5825	83.7642593383789	4
0.6875	0.6875	0.0024957656860351562	0.68	0.68	0.03182554244995117	0.685	0.685	0.0253448486328125	0.67	0.67	0.3201444149017334	0.655	0.655	0.0018215179443359375	0.6525	0.6525	0.03466486930847168	0.47	0.47	0.005177974700927734	0.53	0.53	0.0037627220153808594	0.47	0.47	38.051613092422485	0.47	0.47	48.96798539161682	0.47	0.47	126.82966899871826	0.47	0.47	86.63027811050415	5
0.645	0.645	0.0024640560150146484	0.625	0.625	0.03619861602783203	0.64	0.64	0.02690291404724121	0.63	0.63	0.3401477336883545	0.62	0.62	0.0018477439880371094	0.605	0.605	0.0327911376953125	0.555	0.555	0.00514531135559082	0.555	0.555	0.0038709640502929688	0.445	0.445	39.71538209915161	0.445	0.445	49.94742274284363	0.445	0.445	125.61460399627686	0.445	0.445	85.8741626739502	6
0.6175	0.6175	0.0024459362030029297	0.6225	0.6225	0.03620195388793945	0.6075	0.6075	0.032170772552490234	0.62	0.62	0.3386809825897217	0.6025	0.6025	0.0017497539520263672	0.6375	0.6375	0.035492658615112305	0.5	0.5	0.005060672760009766	0.5	0.5	0.0037736892700195312	0.5525	0.5525	37.714266538619995	0.5	0.5	48.1227080821991	0.5	0.5	125.60431742668152	0.555	0.555	87.464599609375	7
0.63	0.63	0.002434968948364258	0.62	0.62	0.03419756889343262	0.6325	0.6325	0.030642986297607422	0.6125	0.6125	0.3131403923034668	0.6425	0.6425	0.0018231868743896484	0.61	0.61	0.03553605079650879	0.4925	0.4925	0.0053026676177978516	0.5075	0.5075	0.0037796497344970703	0.4925	0.4925	38.17303705215454	0.4925	0.4925	48.06220722198486	0.4925	0.4925	123.5261538028717	0.4925	0.4925	85.54203748703003	8
0.6125	0.6125	0.0024166107177734375	0.6025	0.6025	0.03218221664428711	0.6075	0.6075	0.030951738357543945	0.6325	0.6325	0.3203108310699463	0.5925	0.5925	0.001783609390258789	0.605	0.605	0.0330042839050293	0.4825	0.4825	0.0050656795501708984	0.5175	0.5175	0.003747701644897461	0.4825	0.4825	38.5949285030365	0.4825	0.4825	48.97151255607605	0.4825	0.4825	128.84804487228394	0.4825	0.4825	83.10989284515381	9
