dataset	signature	seed	ambient_gcn_f1-micro	ambient_mlp_f1-micro	ambient_mlr_f1-micro	kappa_gcn_f1-micro	kappa_mlp_f1-micro	kappa_mlr_f1-micro	knn_f1-micro	product_dt_f1-micro	product_rf_f1-micro	ps_perceptron_f1-micro	single_manifold_rf_f1-micro	sklearn_dt_f1-micro	sklearn_rf_f1-micro	tangent_dt_f1-micro	tangent_gcn_f1-micro	tangent_mlp_f1-micro	tangent_mlr_f1-micro	tangent_rf_f1-micro	ambient_gcn_f1-macro	ambient_mlp_f1-macro	ambient_mlr_f1-macro	kappa_gcn_f1-macro	kappa_mlp_f1-macro	kappa_mlr_f1-macro	knn_f1-macro	product_dt_f1-macro	product_rf_f1-macro	ps_perceptron_f1-macro	single_manifold_rf_f1-macro	sklearn_dt_f1-macro	sklearn_rf_f1-macro	tangent_dt_f1-macro	tangent_gcn_f1-macro	tangent_mlp_f1-macro	tangent_mlr_f1-macro	tangent_rf_f1-macro	ambient_gcn_accuracy	ambient_mlp_accuracy	ambient_mlr_accuracy	kappa_gcn_accuracy	kappa_mlp_accuracy	kappa_mlr_accuracy	knn_accuracy	product_dt_accuracy	product_rf_accuracy	ps_perceptron_accuracy	single_manifold_rf_accuracy	sklearn_dt_accuracy	sklearn_rf_accuracy	tangent_dt_accuracy	tangent_gcn_accuracy	tangent_mlp_accuracy	tangent_mlr_accuracy	tangent_rf_accuracy	ambient_gcn_time	ambient_mlp_time	ambient_mlr_time	kappa_gcn_time	kappa_mlp_time	kappa_mlr_time	knn_time	product_dt_time	product_rf_time	ps_perceptron_time	single_manifold_rf_time	sklearn_dt_time	sklearn_rf_time	tangent_dt_time	tangent_gcn_time	tangent_mlp_time	tangent_mlr_time	tangent_rf_time
product_gaussian	HH	0	0.115	0.245	0.245	0.225	0.265	0.285	0.52	0.4	0.49	0.16	0.285	0.33	0.4	0.425	0.21	0.25	0.25	0.46	0.026376146788990827	0.14839616483068135	0.14970153879321962	0.11179755518424062	0.21285068106068164	0.2226826287398308	0.4679795346743815	0.3459158463655465	0.42023038955764813	0.034482758620689655	0.26219353498204967	0.2872264836133315	0.35329573150648835	0.34857932927883784	0.13446986768343935	0.1952471257960979	0.1952471257960979	0.3851833437544588	0.115	0.245	0.245	0.225	0.265	0.285	0.52	0.4	0.49	0.16	0.285	0.33	0.4	0.425	0.21	0.25	0.25	0.46	52.15437412261963	41.78827095031738	18.53576159477234	87.8190405368805	97.2985692024231	46.27017402648926	0.38637757301330566	0.1574554443359375	1.015296220779419	0.03960251808166504	17.86223864555359	0.0035293102264404297	0.03472304344177246	0.0019779205322265625	51.68087577819824	41.25086998939514	18.597949504852295	0.034937381744384766
product_gaussian	HH	1	0.125	0.325	0.315	0.245	0.285	0.185	0.455	0.44	0.48	0.125	0.31	0.42	0.455	0.345	0.255	0.335	0.335	0.495	0.028026905829596414	0.20995859505522257	0.21072836187317617	0.04919678714859438	0.1827371203967994	0.12907139436064183	0.3971206326051377	0.38077283177669063	0.39858059814200164	0.027777777777777776	0.2759527400703871	0.37995975693344114	0.3663657170118091	0.2513744212962963	0.07799611838913148	0.2736405768013602	0.27323636505247584	0.38534200758167636	0.125	0.325	0.315	0.245	0.285	0.185	0.455	0.44	0.48	0.125	0.31	0.42	0.455	0.345	0.255	0.335	0.335	0.495	52.97291135787964	41.722744941711426	18.622665643692017	90.4524610042572	94.70197105407715	47.41917109489441	0.004837512969970703	0.08137798309326172	0.9943315982818604	0.038031816482543945	17.564002513885498	0.0027565956115722656	0.033101797103881836	0.0019316673278808594	52.98108911514282	41.323479413986206	16.51412320137024	0.03256535530090332
product_gaussian	HH	2	0.04	0.335	0.355	0.29	0.275	0.305	0.5	0.415	0.54	0.29	0.31	0.365	0.41	0.415	0.335	0.355	0.355	0.465	0.009615384615384616	0.2487045031687889	0.2645722320152962	0.0562015503875969	0.2497224817373502	0.18455883673156848	0.442247080824667	0.32234342697729423	0.4803115475317734	0.0562015503875969	0.27722463985594237	0.3482189894571436	0.3379538897463624	0.2806001656602991	0.1634110177029117	0.27789680920647875	0.27789680920647875	0.3841555134693655	0.04	0.335	0.355	0.29	0.275	0.305	0.5	0.415	0.54	0.29	0.31	0.365	0.41	0.415	0.335	0.355	0.355	0.465	53.250253677368164	41.87768745422363	18.4650661945343	87.91294980049133	96.3976137638092	47.60799288749695	0.003611326217651367	0.09241056442260742	1.0403048992156982	0.03713822364807129	17.54580807685852	0.0027098655700683594	0.03209257125854492	0.001941680908203125	53.19547891616821	40.74800944328308	18.61741805076599	0.03308558464050293
product_gaussian	HH	3	0.025	0.365	0.355	0.31	0.36	0.39	0.565	0.48	0.525	0.305	0.37	0.42	0.48	0.48	0.29	0.445	0.44	0.51	0.006097560975609756	0.20023558002281405	0.19012333152958155	0.0788020163020163	0.19491515782998306	0.24487753364872478	0.42694887386411196	0.36134104443872817	0.35452612521578036	0.058653846153846154	0.2669586132885405	0.31784018969606487	0.36831969443575724	0.3213075383104468	0.05708661417322835	0.2767404783971049	0.2743518242081461	0.3438794998652696	0.025	0.365	0.355	0.31	0.36	0.39	0.565	0.48	0.525	0.305	0.37	0.42	0.48	0.48	0.29	0.445	0.44	0.51	53.47205638885498	41.41723418235779	17.062451362609863	89.73687028884888	96.59805107116699	47.87013363838196	0.003663778305053711	0.08984947204589844	1.0417444705963135	0.037027835845947266	16.65304970741272	0.002706766128540039	0.03253006935119629	0.0019452571868896484	53.297945737838745	41.2881236076355	18.819637775421143	0.03406882286071777
product_gaussian	HH	4	0.215	0.335	0.32	0.33	0.225	0.275	0.525	0.375	0.465	0.16	0.36	0.33	0.415	0.375	0.31	0.31	0.31	0.425	0.1428501787183783	0.3159604141562904	0.28099442864487933	0.10913610251878036	0.1832470237363309	0.21896608360022995	0.4737273110971151	0.26123430141287285	0.31863183827750474	0.034482758620689655	0.2630581903254481	0.24960918331181406	0.2215864690864691	0.2916899392546967	0.10067873303167421	0.2328688848743973	0.2328688848743973	0.24949474715099715	0.215	0.335	0.32	0.33	0.225	0.275	0.525	0.375	0.465	0.16	0.36	0.33	0.415	0.375	0.31	0.31	0.31	0.425	51.47238850593567	41.43860983848572	19.071581840515137	89.85704803466797	96.63671517372131	47.65070605278015	0.003711223602294922	0.08292126655578613	0.9408595561981201	0.03713583946228027	18.05065608024597	0.00275421142578125	0.03737163543701172	0.0019540786743164062	52.82530331611633	41.624988079071045	18.64956498146057	0.032721519470214844
product_gaussian	HH	5	0.245	0.245	0.235	0.28	0.225	0.23	0.5	0.36	0.445	0.165	0.28	0.42	0.4	0.395	0.265	0.21	0.21	0.45	0.18401304588936118	0.20150345434998668	0.19589353626975373	0.13650727818970837	0.1899366616934748	0.1456234303322492	0.4657246498646874	0.30975246513929383	0.3972582199473189	0.03540772532188841	0.2586669346396794	0.3574800515171743	0.32474269222707175	0.32292964724831974	0.15407850899965386	0.16327098963953632	0.16327098963953632	0.37610558009657574	0.245	0.245	0.235	0.28	0.225	0.23	0.5	0.36	0.445	0.165	0.28	0.42	0.4	0.395	0.265	0.21	0.21	0.45	52.880473613739014	42.05808401107788	18.589735746383667	89.78519749641418	96.20227718353271	47.408939838409424	0.0036468505859375	0.09229612350463867	1.0446763038635254	0.037137746810913086	18.61662244796753	0.0027008056640625	0.034438133239746094	0.0019307136535644531	52.89579463005066	41.895174980163574	18.750808477401733	0.032042503356933594
product_gaussian	HH	6	0.145	0.36	0.365	0.25	0.33	0.29	0.44	0.34	0.425	0.145	0.2	0.385	0.37	0.425	0.27	0.3	0.3	0.39	0.05488498483316481	0.30132913782085896	0.32180024964123977	0.05	0.23924726334314225	0.1936259654750348	0.43049116734577714	0.2599604784206835	0.3602799756258196	0.03165938864628821	0.17978259426549803	0.32673386896134393	0.30554631682680466	0.35013520792932556	0.08351810790835182	0.15648130112972342	0.15648130112972342	0.3200015254281633	0.145	0.36	0.365	0.25	0.33	0.29	0.44	0.34	0.425	0.145	0.2	0.385	0.37	0.425	0.27	0.3	0.3	0.39	52.88725447654724	41.77212738990784	18.731953144073486	90.92457723617554	96.91532301902771	47.472115993499756	0.0037157535552978516	0.09000587463378906	1.0598523616790771	0.03683805465698242	18.74076819419861	0.002685070037841797	0.033939361572265625	0.001882791519165039	53.37658643722534	41.37974190711975	18.786126852035522	0.03281521797180176
product_gaussian	HH	7	0.155	0.46	0.44	0.215	0.29	0.29	0.56	0.465	0.55	0.16	0.295	0.455	0.455	0.49	0.32	0.415	0.415	0.53	0.057439072327044025	0.40893040949594484	0.3921997381992985	0.07831498883754737	0.22363804444500648	0.24847577621069905	0.47101642366348245	0.3551391909294296	0.45067388111833623	0.034482758620689655	0.25666605958073957	0.39564468807653885	0.3592868607703862	0.4179407994072001	0.17935833213587724	0.3323705949131892	0.3323705949131892	0.4308032309912142	0.155	0.46	0.44	0.215	0.29	0.29	0.56	0.465	0.55	0.16	0.295	0.455	0.455	0.49	0.32	0.415	0.415	0.53	52.797096490859985	39.6649444103241	18.573248624801636	90.24717831611633	96.23649740219116	47.739651918411255	0.0037314891815185547	0.07363581657409668	0.9695272445678711	0.03725457191467285	18.444491624832153	0.0027332305908203125	0.03278803825378418	0.0019390583038330078	53.07146692276001	41.34524321556091	18.803142786026	0.03306841850280762
product_gaussian	HH	8	0.105	0.405	0.415	0.21	0.365	0.225	0.585	0.49	0.555	0.16	0.3	0.47	0.49	0.51	0.29	0.405	0.405	0.52	0.06176723021116725	0.34044158934348423	0.349216748667702	0.04338842975206612	0.25941951566951565	0.1736496322626688	0.5671863484103286	0.4312675663150636	0.5202045006488528	0.034482758620689655	0.2259306075212638	0.40401956439105385	0.44547963121076334	0.44877106504887093	0.16786075390934727	0.30989157548759105	0.30966534531112533	0.44925851801128225	0.105	0.405	0.415	0.21	0.365	0.225	0.585	0.49	0.555	0.16	0.3	0.47	0.49	0.51	0.29	0.405	0.405	0.52	52.91704821586609	41.964744091033936	18.75771927833557	89.90830993652344	95.1298475265503	47.5177435874939	0.0037240982055664062	0.09320068359375	1.0482172966003418	0.037442922592163086	18.143845081329346	0.0027184486389160156	0.03340768814086914	0.0019011497497558594	52.7335159778595	41.461670875549316	18.748238801956177	0.03389334678649902
product_gaussian	HH	9	0.055	0.29	0.275	0.26	0.255	0.28	0.43	0.355	0.425	0.165	0.275	0.38	0.385	0.385	0.26	0.32	0.315	0.41	0.017255892255892254	0.13350448416934715	0.10262951334379906	0.09249918202639328	0.20282382641412186	0.18710340435386752	0.41923950410583033	0.29547085843828225	0.33739635157545605	0.03540772532188841	0.23129698121509454	0.3112000502013543	0.2686464876323742	0.3166492813265788	0.09429039952295766	0.24044268276005476	0.23622277733778996	0.33077129135475947	0.055	0.29	0.275	0.26	0.255	0.28	0.43	0.355	0.425	0.165	0.275	0.38	0.385	0.385	0.26	0.32	0.315	0.41	52.7080192565918	41.87111830711365	18.758413314819336	89.62680864334106	94.99862933158875	47.73056888580322	0.0036773681640625	0.08687591552734375	1.0330860614776611	0.03773951530456543	18.740057229995728	0.00269317626953125	0.03265213966369629	0.0018908977508544922	53.02901101112366	41.79651117324829	18.868780612945557	0.032767534255981445
