dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	H1024	1	0.73	0.785	0.5918172887842006	0.6529409166563636	0.73	0.785	0.30464863777160645	0.045388221740722656
gaussian	H1024	2	0.735	0.755	0.7345684984520124	0.6700523011136822	0.735	0.755	0.26427745819091797	0.04464554786682129
gaussian	H1024	3	0.775	0.7	0.5582186097119518	0.49136575809932675	0.775	0.7	0.2683064937591553	0.04549455642700195
gaussian	H1024	4	0.74	0.745	0.547283103822839	0.4327896776825786	0.74	0.745	0.26267361640930176	0.04467034339904785
gaussian	H1024	5	0.805	0.71	0.6615319328779901	0.537640300875595	0.805	0.71	0.26445746421813965	0.0439760684967041
gaussian	H1024	6	0.695	0.745	0.6528866094273071	0.6736293007456345	0.695	0.745	0.2614431381225586	0.04407930374145508
gaussian	H1024	7	0.79	0.795	0.6560069763505344	0.6484940969769494	0.79	0.795	0.26620936393737793	0.04401111602783203
gaussian	H1024	8	0.735	0.775	0.7100600605866205	0.7139847069994129	0.735	0.775	0.26488614082336426	0.04375648498535156
gaussian	H1024	9	0.705	0.695	0.6206769745017864	0.5515472291431079	0.705	0.695	0.26485276222229004	0.04424858093261719
gaussian	H1024	10	0.81	0.75	0.725894203612107	0.6417874937679091	0.81	0.75	0.2649822235107422	0.04292631149291992
gaussian	S1024	11	0.455	0.475	0.29180180337528033	0.3404988495013489	0.455	0.475	0.2485342025756836	0.043805837631225586
gaussian	S1024	12	0.515	0.45	0.40819722714611817	0.3842377291619698	0.515	0.45	0.2480909824371338	0.0436859130859375
gaussian	S1024	13	0.535	0.45	0.4696823595674876	0.3881376551446605	0.535	0.45	0.24810028076171875	0.044077396392822266
gaussian	S1024	14	0.49	0.45	0.34252536698188873	0.2898279633718748	0.49	0.45	0.2492523193359375	0.03647136688232422
gaussian	S1024	15	0.48	0.55	0.3710362524001002	0.45895773590731803	0.48	0.55	0.24842238426208496	0.0452878475189209
gaussian	S1024	16	0.58	0.605	0.5191566057422828	0.5436454078674244	0.58	0.605	0.24823904037475586	0.04378008842468262
gaussian	S1024	17	0.54	0.53	0.37908594557386666	0.38303019662921345	0.54	0.53	0.24784612655639648	0.04384303092956543
gaussian	S1024	18	0.53	0.53	0.39908313166900955	0.47875941625941626	0.53	0.53	0.24803948402404785	0.04471302032470703
gaussian	S1024	19	0.56	0.495	0.42701418454723905	0.34888483250624563	0.56	0.495	0.24829387664794922	0.04475593566894531
gaussian	S1024	20	0.465	0.535	0.2837734986598605	0.32702787199780725	0.465	0.535	0.24795985221862793	0.044207096099853516
gaussian	HH1024	21	0.53	0.58	0.3500256408707932	0.39152432711286667	0.53	0.58	0.26360011100769043	0.04620695114135742
gaussian	HH1024	22	0.605	0.57	0.4139904347497627	0.3746370485414416	0.605	0.57	0.26447558403015137	0.043702125549316406
gaussian	HH1024	23	0.59	0.5	0.4471731509133084	0.3128458626303454	0.59	0.5	0.263852596282959	0.03379464149475098
gaussian	HH1024	24	0.6	0.6	0.48878398685458957	0.5287763674019944	0.6	0.6	0.2662680149078369	0.043142080307006836
gaussian	HH1024	25	0.6	0.595	0.4180948216908261	0.42615786081016893	0.6	0.595	0.26905226707458496	0.04394674301147461
gaussian	HH1024	26	0.615	0.545	0.4963847044203423	0.3767735570403149	0.615	0.545	0.26556873321533203	0.03620314598083496
gaussian	HH1024	27	0.61	0.54	0.46320804852280395	0.38611689160220397	0.61	0.54	0.2653687000274658	0.04360198974609375
gaussian	HH1024	28	0.51	0.53	0.4836371892869075	0.4366429082206864	0.51	0.53	0.2632601261138916	0.04497194290161133
gaussian	HH1024	29	0.56	0.555	0.4663510043740243	0.4725906506187356	0.56	0.555	0.2741224765777588	0.04393649101257324
