dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	H1024	1	0.975	0.97	0.8557950013011824	0.8526205501815258	0.975	0.97	0.3038299083709717	0.04829740524291992
gaussian	H1024	2	0.94	0.975	0.8247937591661585	0.9003804006350808	0.94	0.975	0.2620692253112793	0.046044349670410156
gaussian	H1024	3	0.97	0.95	0.7028699695366363	0.6700554011331457	0.97	0.95	0.26471614837646484	0.04866480827331543
gaussian	H1024	4	0.945	0.945	0.6283583075299493	0.5990756302521008	0.945	0.945	0.26348233222961426	0.043024539947509766
gaussian	H1024	5	0.925	0.93	0.6381127450980393	0.6733718412482665	0.925	0.93	0.2627575397491455	0.04656815528869629
gaussian	H1024	6	0.945	0.945	0.8471536012296882	0.9091408316854928	0.945	0.945	0.2570154666900635	0.04352712631225586
gaussian	H1024	7	0.9	0.94	0.7825165409184776	0.8557000946831822	0.9	0.94	0.26016712188720703	0.04365968704223633
gaussian	H1024	8	0.925	0.97	0.7717901609961724	0.8392698147250583	0.925	0.97	0.25767016410827637	0.03543496131896973
gaussian	H1024	9	0.92	0.93	0.8750065839501998	0.8455196267696268	0.92	0.93	0.2648892402648926	0.04518866539001465
gaussian	H1024	10	0.945	0.975	0.8855154951836874	0.9649730368761178	0.945	0.975	0.2584209442138672	0.04445528984069824
gaussian	S1024	11	0.61	0.56	0.44692558466124044	0.37984301333922665	0.61	0.56	0.2481236457824707	0.044074058532714844
gaussian	S1024	12	0.655	0.605	0.5478415138295594	0.44280666001753477	0.655	0.605	0.2486128807067871	0.04362821578979492
gaussian	S1024	13	0.705	0.65	0.4318643379783779	0.34749891335844685	0.705	0.65	0.24878334999084473	0.044891357421875
gaussian	S1024	14	0.78	0.71	0.5695515148236138	0.5160624642708865	0.78	0.71	0.24790143966674805	0.04395246505737305
gaussian	S1024	15	0.67	0.625	0.6546394673793394	0.553905729277825	0.67	0.625	0.24889779090881348	0.04388761520385742
gaussian	S1024	16	0.685	0.66	0.5653613841113841	0.4897685415974299	0.685	0.66	0.24826550483703613	0.04406380653381348
gaussian	S1024	17	0.72	0.695	0.5513192925671009	0.5390238768852382	0.72	0.695	0.2488725185394287	0.04483771324157715
gaussian	S1024	18	0.67	0.595	0.6865668019267961	0.5731004141559239	0.67	0.595	0.24858713150024414	0.0453944206237793
gaussian	S1024	19	0.71	0.645	0.48706666298261125	0.3986495185848634	0.71	0.645	0.2484736442565918	0.04384016990661621
gaussian	S1024	20	0.69	0.635	0.45151908335994884	0.379563139987302	0.69	0.635	0.2490391731262207	0.04403829574584961
gaussian	HH1024	21	0.925	0.905	0.6780876020714295	0.6466791058311103	0.925	0.905	0.26496028900146484	0.04481244087219238
gaussian	HH1024	22	0.865	0.88	0.5867437735397685	0.6205602112793275	0.865	0.88	0.26468849182128906	0.0444180965423584
gaussian	HH1024	23	0.875	0.88	0.7501537305706908	0.7292917149534797	0.875	0.88	0.2686171531677246	0.04395461082458496
gaussian	HH1024	24	0.905	0.855	0.7645324811342609	0.6977135793294329	0.905	0.855	0.26453471183776855	0.044614315032958984
gaussian	HH1024	25	0.875	0.875	0.6760356640471371	0.671017054834864	0.875	0.875	0.2647514343261719	0.04474592208862305
gaussian	HH1024	26	0.925	0.93	0.7082437913985415	0.7092628874956461	0.925	0.93	0.26526832580566406	0.04476618766784668
gaussian	HH1024	27	0.82	0.9	0.6099069079575236	0.7591440930067321	0.82	0.9	0.2620718479156494	0.0436398983001709
gaussian	HH1024	28	0.97	0.99	0.8514708117968988	0.8704998392799743	0.97	0.99	0.2650024890899658	0.043450355529785156
gaussian	HH1024	29	0.78	0.845	0.546631544173679	0.6752368643468456	0.78	0.845	0.26912665367126465	0.05039358139038086
gaussian	HH1024	30	0.92	0.93	0.8710321079826262	0.8680192731352039	0.92	0.93	0.26517343521118164	0.04448890686035156
gaussian	SS1024	31	0.83	0.775	0.7205541719778659	0.6331246304879083	0.83	0.775	0.24952912330627441	0.04417586326599121
gaussian	SS1024	32	0.85	0.87	0.7156611215914938	0.7505616572333214	0.85	0.87	0.248565673828125	0.04685235023498535
gaussian	SS1024	33	0.8	0.825	0.533291669736945	0.711253853211969	0.8	0.825	0.25161027908325195	0.0432133674621582
gaussian	SS1024	34	0.91	0.895	0.5766503663529778	0.5687556029827265	0.91	0.895	0.24901866912841797	0.04542851448059082
gaussian	SS1024	35	0.865	0.855	0.6012824115765292	0.5644392372333549	0.865	0.855	0.2487034797668457	0.04373359680175781
gaussian	SS1024	36	0.84	0.86	0.6399413720643012	0.6473004406106482	0.84	0.86	0.24818158149719238	0.04474949836730957
gaussian	SS1024	37	0.8	0.79	0.5866158816083515	0.5528394757478963	0.8	0.79	0.24855566024780273	0.04294395446777344
gaussian	SS1024	38	0.875	0.84	0.7726101566562094	0.7409520489100934	0.875	0.84	0.25377440452575684	0.04512786865234375
gaussian	SS1024	39	0.875	0.87	0.6181537595167592	0.592618057992137	0.875	0.87	0.24808669090270996	0.04355669021606445
gaussian	SS1024	40	0.87	0.8	0.6746642547440735	0.5992421385803739	0.87	0.8	0.2488720417022705	0.044982194900512695
gaussian	HS1024	41	0.805	0.79	0.552381038540376	0.5629707716798599	0.805	0.79	0.2570459842681885	0.04440927505493164
gaussian	HS1024	42	0.825	0.76	0.7021169135691743	0.5875840876067605	0.825	0.76	0.2571084499359131	0.04399418830871582
gaussian	HS1024	43	0.815	0.82	0.44040031276285707	0.523263699010422	0.815	0.82	0.25647521018981934	0.044191598892211914
gaussian	HS1024	44	0.82	0.83	0.5989085253965537	0.6905734048569891	0.82	0.83	0.2555348873138428	0.045806169509887695
gaussian	HS1024	45	0.85	0.83	0.5378651010997756	0.5310653527758791	0.85	0.83	0.2540314197540283	0.032984256744384766
gaussian	HS1024	46	0.88	0.875	0.5711758044589987	0.5913555704151215	0.88	0.875	0.2552821636199951	0.04440736770629883
gaussian	HS1024	47	0.835	0.805	0.5421490099732134	0.5332134460367219	0.835	0.805	0.25476598739624023	0.04422736167907715
gaussian	HS1024	48	0.765	0.775	0.5319932222446195	0.5831575925389313	0.765	0.775	0.2567620277404785	0.04295802116394043
gaussian	HS1024	49	0.84	0.855	0.653784073759668	0.7371374392212375	0.84	0.855	0.25519895553588867	0.044188737869262695
gaussian	HS1024	50	0.86	0.85	0.5668314727138923	0.6092849664107935	0.86	0.85	0.25463342666625977	0.044121742248535156
gaussian	H64	51	0.91	0.92	0.8381755236237325	0.858705474092471	0.91	0.92	0.1259021759033203	0.03302955627441406
gaussian	H64	52	0.965	0.935	0.9260870233887898	0.8608211536754656	0.965	0.935	0.12613224983215332	0.032915592193603516
gaussian	H64	53	0.945	0.87	0.9019686123228177	0.6749263204307064	0.945	0.87	0.12467193603515625	0.032830238342285156
gaussian	H64	54	0.98	0.98	0.9781205484330484	0.982907198852194	0.98	0.98	0.12517333030700684	0.033117055892944336
gaussian	H64	55	0.91	0.9	0.7649951444599263	0.7572132505650683	0.91	0.9	0.12451648712158203	0.03431582450866699
gaussian	H64	56	0.94	0.945	0.8641651876187959	0.8896137354010634	0.94	0.945	0.12494134902954102	0.033504486083984375
gaussian	H64	57	0.91	0.905	0.891253238785355	0.8402245547429021	0.91	0.905	0.12471747398376465	0.03292393684387207
