dataset	signature	seed	product_rf_f1-micro	single_manifold_rf_f1-micro	sklearn_rf_f1-micro	tangent_rf_f1-micro	product_rf_f1-macro	single_manifold_rf_f1-macro	sklearn_rf_f1-macro	tangent_rf_f1-macro	product_rf_accuracy	single_manifold_rf_accuracy	sklearn_rf_accuracy	tangent_rf_accuracy	product_rf_time	single_manifold_rf_time	sklearn_rf_time	tangent_rf_time
gaussian	H1024	1	0.975	0.96	0.97	0.935	0.8557950013011824	0.9203188433496652	0.8526205501815258	0.7939211722917124	0.975	0.96	0.97	0.935	0.3003201484680176	1.4893736839294434	0.0450592041015625	0.044631242752075195
gaussian	H1024	2	0.94	0.915	0.975	0.875	0.8247937591661585	0.8388164111305038	0.9003804006350808	0.7317012071069695	0.94	0.915	0.975	0.875	0.2617611885070801	1.5697765350341797	0.044461965560913086	0.04386305809020996
gaussian	H1024	3	0.97	0.94	0.95	0.965	0.7028699695366363	0.7501523328160152	0.6700554011331457	0.6938831568402081	0.97	0.94	0.95	0.965	0.28673577308654785	1.5603177547454834	0.042279958724975586	0.04336285591125488
gaussian	H1024	4	0.945	0.91	0.945	0.94	0.6283583075299493	0.6985379432307801	0.5990756302521008	0.6388557675322382	0.945	0.91	0.945	0.94	0.27047252655029297	1.298335075378418	0.04390549659729004	0.04338264465332031
gaussian	H1024	5	0.925	0.935	0.93	0.92	0.6381127450980393	0.8918866936476486	0.6733718412482665	0.5990712380330769	0.925	0.935	0.93	0.92	0.26483583450317383	1.5665037631988525	0.046022653579711914	0.044233083724975586
gaussian	H1024	6	0.945	0.95	0.945	0.91	0.8471536012296882	0.9380493950967936	0.9091408316854928	0.841737071633013	0.945	0.95	0.945	0.91	0.25795459747314453	1.6372253894805908	0.04304170608520508	0.04400229454040527
gaussian	H1024	7	0.9	0.95	0.94	0.94	0.7825165409184776	0.9455692021677838	0.8557000946831822	0.8673066267834438	0.9	0.95	0.94	0.94	0.26049160957336426	1.5508577823638916	0.1800546646118164	0.045133113861083984
gaussian	H1024	8	0.925	0.955	0.97	0.905	0.7717901609961724	0.8310229039153249	0.8392698147250583	0.7338429338429339	0.925	0.955	0.97	0.905	0.2591695785522461	1.4805433750152588	0.04445457458496094	0.04382634162902832
gaussian	H1024	9	0.92	0.945	0.93	0.89	0.8750065839501998	0.9305480934722599	0.8455196267696268	0.7546006144393241	0.92	0.945	0.93	0.89	0.2659034729003906	1.6542861461639404	0.04238128662109375	0.04457211494445801
gaussian	H1024	10	0.945	0.945	0.975	0.955	0.8855154951836874	0.9378618795036631	0.9649730368761178	0.912269862762523	0.945	0.945	0.975	0.955	0.26050829887390137	1.6384243965148926	0.0420842170715332	0.04298758506774902
gaussian	H1024	11	0.91	0.97	0.94	0.925	0.7508827953736771	0.9541916163860736	0.858901969766499	0.7836660806416414	0.91	0.97	0.94	0.925	0.26415514945983887	1.543410062789917	0.04332876205444336	0.04308509826660156
gaussian	H1024	12	0.88	0.93	0.94	0.89	0.758741614441	0.9141813960292302	0.8912406725480271	0.7687414596897356	0.88	0.93	0.94	0.89	0.2622106075286865	1.6438758373260498	0.044178009033203125	0.046595096588134766
gaussian	H1024	13	0.98	0.95	0.98	0.97	0.7273538110212638	0.6861468581923127	0.7338530196597719	0.700981319536407	0.98	0.95	0.98	0.97	0.2609996795654297	1.4228909015655518	0.04393577575683594	0.04324007034301758
gaussian	H1024	14	0.965	0.955	0.96	0.965	0.7727470800835393	0.8454517192305785	0.7393621471226092	0.7722231038627763	0.965	0.955	0.96	0.965	0.266054630279541	1.4169528484344482	0.044446468353271484	0.04552936553955078
gaussian	H1024	15	0.995	0.89	1.0	0.935	0.9928337428337428	0.8935667293233083	1.0	0.908642880779314	0.995	0.89	1.0	0.935	0.2640054225921631	1.6254363059997559	0.042929887771606445	0.0456697940826416
gaussian	H1024	16	0.915	0.96	0.965	0.9	0.7143287237637022	0.9074928740417717	0.8297194083605284	0.6698777923363692	0.915	0.96	0.965	0.9	0.2631874084472656	1.490300178527832	0.04292726516723633	0.04321742057800293
gaussian	H1024	17	0.96	0.97	0.965	0.995	0.7632034507013246	0.9182663246852676	0.7871192125476941	0.8731343283582089	0.96	0.97	0.965	0.995	0.26351308822631836	1.4761922359466553	0.04414081573486328	0.0450894832611084
gaussian	H1024	18	0.985	0.94	1.0	0.915	0.97931651409474	0.9342686316951023	1.0	0.8823213503076253	0.985	0.94	1.0	0.915	0.2650284767150879	1.7697162628173828	0.04364371299743652	0.04268670082092285
gaussian	H1024	19	0.96	0.97	0.96	0.98	0.7286996347838759	0.8908883838241577	0.7271651063989774	0.8392369043943604	0.96	0.97	0.96	0.98	0.26316261291503906	1.2315869331359863	0.043365478515625	0.04410719871520996
gaussian	H1024	20	0.875	0.95	0.935	0.94	0.6205223259729074	0.9020307139229102	0.8282619053425965	0.7939990963616907	0.875	0.95	0.935	0.94	0.2639906406402588	1.594386100769043	0.04256248474121094	0.044527530670166016
