dataset	signature	seed	product_rf_f1-micro	single_manifold_rf_f1-micro	sklearn_rf_f1-micro	tangent_rf_f1-micro	product_rf_f1-macro	single_manifold_rf_f1-macro	sklearn_rf_f1-macro	tangent_rf_f1-macro	product_rf_accuracy	single_manifold_rf_accuracy	sklearn_rf_accuracy	tangent_rf_accuracy	product_rf_time	single_manifold_rf_time	sklearn_rf_time	tangent_rf_time
gaussian	H1024	1	0.975	0.96	0.97	0.935	0.8557950013011824	0.9203188433496652	0.8526205501815258	0.7939211722917124	0.975	0.96	0.97	0.935	0.30490732192993164	1.4924137592315674	0.04577040672302246	0.04524397850036621
gaussian	H1024	2	0.94	0.915	0.975	0.875	0.8247937591661585	0.8388164111305038	0.9003804006350808	0.7317012071069695	0.94	0.915	0.975	0.875	0.26265478134155273	1.5666534900665283	0.04586601257324219	0.044619083404541016
gaussian	H1024	3	0.97	0.94	0.95	0.965	0.7028699695366363	0.7501523328160152	0.6700554011331457	0.6938831568402081	0.97	0.94	0.95	0.965	0.26512956619262695	1.4840469360351562	0.04531383514404297	0.04499650001525879
gaussian	H1024	4	0.945	0.91	0.945	0.94	0.6283583075299493	0.6985379432307801	0.5990756302521008	0.6388557675322382	0.945	0.91	0.945	0.94	0.26316308975219727	1.2816822528839111	0.04470181465148926	0.04755806922912598
gaussian	H1024	5	0.925	0.935	0.93	0.92	0.6381127450980393	0.8918866936476486	0.6733718412482665	0.5990712380330769	0.925	0.935	0.93	0.92	0.2630958557128906	1.5661835670471191	0.04405641555786133	0.04494643211364746
gaussian	H1024	6	0.945	0.95	0.945	0.91	0.8471536012296882	0.9380493950967936	0.9091408316854928	0.841737071633013	0.945	0.95	0.945	0.91	0.2608940601348877	1.6358180046081543	0.04468059539794922	0.04372215270996094
gaussian	H1024	7	0.9	0.95	0.94	0.94	0.7825165409184776	0.9455692021677838	0.8557000946831822	0.8673066267834438	0.9	0.95	0.94	0.94	0.2598094940185547	1.5492260456085205	0.045037031173706055	0.04411888122558594
gaussian	H1024	8	0.925	0.955	0.97	0.905	0.7717901609961724	0.8310229039153249	0.8392698147250583	0.7338429338429339	0.925	0.955	0.97	0.905	0.25779294967651367	1.480172872543335	0.044663190841674805	0.04633831977844238
gaussian	H1024	9	0.92	0.945	0.93	0.89	0.8750065839501998	0.9305480934722599	0.8455196267696268	0.7546006144393241	0.92	0.945	0.93	0.89	0.2641580104827881	1.6542870998382568	0.04410862922668457	0.04436039924621582
gaussian	H1024	10	0.945	0.945	0.975	0.955	0.8855154951836874	0.9378618795036631	0.9649730368761178	0.912269862762523	0.945	0.945	0.975	0.955	0.2639188766479492	1.637312650680542	0.049231529235839844	0.0444486141204834
