dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	H1024	1	0.935	0.91	0.9008124266336486	0.9014031201220036	0.935	0.91	2.258990526199341	0.05675959587097168
gaussian	H1024	2	0.97	0.965	0.9735349626474619	0.9656433348512804	0.97	0.965	2.1325502395629883	0.055008888244628906
gaussian	H1024	3	0.92	0.94	0.7750138748512748	0.7899774561765625	0.92	0.94	1.9650146961212158	0.05513501167297363
gaussian	H1024	4	0.93	0.915	0.8845549184074726	0.8536683326811362	0.93	0.915	2.039550304412842	0.054076194763183594
gaussian	H1024	5	0.96	0.925	0.9475406855412576	0.8929777561381866	0.96	0.925	2.1202738285064697	0.05486440658569336
gaussian	H1024	6	0.955	0.935	0.9509931963079266	0.9278722212674256	0.955	0.935	2.2865521907806396	0.05463266372680664
gaussian	H1024	7	0.945	0.905	0.9246559564599198	0.8347706641475243	0.945	0.905	2.1985137462615967	0.05373215675354004
gaussian	H1024	8	0.945	0.945	0.9488372020699607	0.9430349123930826	0.945	0.945	2.1807737350463867	0.05388450622558594
gaussian	H1024	9	0.94	0.93	0.9278981085567009	0.9083826025677977	0.94	0.93	2.269775390625	0.05584836006164551
gaussian	H1024	10	0.96	0.93	0.9471275929070249	0.9221921157339285	0.96	0.93	2.095755100250244	0.05514836311340332
gaussian	S1024	11	0.615	0.61	0.5498722739412986	0.5674544365517811	0.615	0.61	2.6147453784942627	0.05377197265625
gaussian	S1024	12	0.58	0.665	0.5597532933016803	0.6592811002838814	0.58	0.665	2.5612504482269287	0.06468725204467773
gaussian	S1024	13	0.595	0.635	0.5919497571886576	0.6352485571024522	0.595	0.635	2.690397262573242	0.07490158081054688
gaussian	S1024	14	0.615	0.585	0.6119868998942524	0.5813971894277127	0.615	0.585	2.4996631145477295	0.0658411979675293
gaussian	S1024	15	0.635	0.68	0.6289221749305783	0.66937939168698	0.635	0.68	2.604851245880127	0.06454896926879883
gaussian	S1024	16	0.6	0.645	0.600957519371385	0.6195785407494115	0.6	0.645	2.7070226669311523	0.05424857139587402
gaussian	S1024	17	0.62	0.62	0.5461166229241142	0.5373169118595948	0.62	0.62	2.445638656616211	0.06374216079711914
gaussian	S1024	18	0.655	0.66	0.6008261352077096	0.608665828426362	0.655	0.66	2.626814126968384	0.06685495376586914
gaussian	S1024	19	0.665	0.7	0.6628049338769919	0.6844383805975716	0.665	0.7	2.5109081268310547	0.07395005226135254
gaussian	S1024	20	0.635	0.64	0.5508417052902648	0.5502735282147047	0.635	0.64	2.478299856185913	0.05485677719116211
gaussian	HH1024	21	0.73	0.74	0.7162581524626745	0.6961696736910564	0.73	0.74	2.933758497238159	0.054352521896362305
gaussian	HH1024	22	0.81	0.76	0.7734956583189577	0.6987906631994725	0.81	0.76	2.823421001434326	0.05336594581604004
gaussian	HH1024	23	0.74	0.725	0.6952789980744878	0.6705667721206574	0.74	0.725	2.811972141265869	0.054154396057128906
gaussian	HH1024	24	0.78	0.735	0.7439508619753753	0.7055380977470018	0.78	0.735	2.8437416553497314	0.05382585525512695
gaussian	HH1024	25	0.745	0.74	0.5608141364983286	0.5883840153176596	0.745	0.74	2.956993341445923	0.054007768630981445
gaussian	HH1024	26	0.76	0.705	0.711789113988128	0.643325804059051	0.76	0.705	2.881397008895874	0.0543665885925293
gaussian	HH1024	27	0.705	0.71	0.6628754459273797	0.6378094474201251	0.705	0.71	2.905129909515381	0.053818702697753906
gaussian	HH1024	28	0.735	0.7	0.7422950550094847	0.6940574279398839	0.735	0.7	2.8513622283935547	0.05414009094238281
gaussian	HH1024	29	0.74	0.7	0.6950584925900978	0.6626432118688602	0.74	0.7	3.0063283443450928	0.06440854072570801
gaussian	HH1024	30	0.765	0.71	0.6475811978718955	0.6497759752476733	0.765	0.71	2.965414047241211	0.056618690490722656
gaussian	SS1024	31	0.755	0.78	0.6643738784952575	0.6476601225285437	0.755	0.78	2.304920196533203	0.05466461181640625
gaussian	SS1024	32	0.8	0.81	0.7984407839428331	0.8192046800917252	0.8	0.81	2.3225667476654053	0.05498766899108887
gaussian	SS1024	33	0.79	0.89	0.7724048961591955	0.8697496758036266	0.79	0.89	2.377600908279419	0.05368947982788086
gaussian	SS1024	34	0.75	0.815	0.6284891144540448	0.7043760938494863	0.75	0.815	2.2759432792663574	0.054216861724853516
gaussian	SS1024	35	0.75	0.82	0.7215819519399544	0.7938994881929664	0.75	0.82	2.366468667984009	0.06404376029968262
gaussian	SS1024	36	0.78	0.85	0.7653247252451508	0.8618520012994051	0.78	0.85	2.280179977416992	0.053246498107910156
gaussian	SS1024	37	0.785	0.805	0.7181055060429922	0.7856590015108794	0.785	0.805	2.3889713287353516	0.06514644622802734
gaussian	SS1024	38	0.75	0.775	0.7217039335350531	0.6829123686925236	0.75	0.775	2.2898025512695312	0.055040836334228516
gaussian	SS1024	39	0.8	0.86	0.812634601310689	0.8684018700428443	0.8	0.86	2.357621908187866	0.06445956230163574
gaussian	SS1024	40	0.82	0.795	0.8135528310258063	0.7940976300118945	0.82	0.795	2.3924665451049805	0.0645909309387207
gaussian	HS1024	41	0.69	0.71	0.6897782732273	0.7107538531924088	0.69	0.71	2.508510112762451	0.05408453941345215
gaussian	HS1024	42	0.74	0.75	0.7305620605243364	0.7452813024678966	0.74	0.75	2.6533775329589844	0.053635597229003906
gaussian	HS1024	43	0.725	0.805	0.7395928616661975	0.7810845137506628	0.725	0.805	2.4663758277893066	0.05616021156311035
