dataset	signature	seed	product_rf_f1-micro	sklearn_rf_f1-micro	product_rf_f1-macro	sklearn_rf_f1-macro	product_rf_accuracy	sklearn_rf_accuracy	product_rf_time	sklearn_rf_time
gaussian	H128	1	0.77	0.735	0.7491495983491057	0.6632837677875452	0.77	0.735	0.505760908126831	0.04697775840759277
gaussian	H128	2	0.755	0.875	0.7494699111060232	0.875297792852767	0.755	0.875	0.4572763442993164	0.0442965030670166
gaussian	H128	3	0.79	0.815	0.5954479833211608	0.6092413974464381	0.79	0.815	0.42694568634033203	0.03243613243103027
gaussian	H128	4	0.83	0.79	0.6902455291024702	0.6549959502771672	0.83	0.79	0.40553736686706543	0.0336458683013916
gaussian	H128	5	0.86	0.825	0.7371033102434461	0.727660777448562	0.86	0.825	0.4118530750274658	0.032628774642944336
gaussian	H128	6	0.795	0.785	0.7579464341697747	0.7289195468362191	0.795	0.785	0.4607410430908203	0.03255414962768555
gaussian	H128	7	0.835	0.835	0.6872309894733504	0.6835996671547054	0.835	0.835	0.4321615695953369	0.0323333740234375
gaussian	H128	8	0.87	0.79	0.7523366790400936	0.6877896390280568	0.87	0.79	0.4150238037109375	0.04220151901245117
gaussian	H128	9	0.75	0.83	0.6939587504798135	0.8146437797046318	0.75	0.83	0.42840003967285156	0.034833669662475586
gaussian	H128	10	0.8	0.835	0.6320427229224315	0.6953333173316926	0.8	0.835	0.44188427925109863	0.03320884704589844
gaussian	E128	11	0.24	0.2	0.10300472727281014	0.10082149818991923	0.24	0.2	0.32755184173583984	0.034281015396118164
gaussian	E128	12	0.21	0.19	0.07494957782107818	0.07664682539682541	0.21	0.19	0.3687412738800049	0.0335080623626709
gaussian	E128	13	0.22	0.225	0.11594842339451503	0.1051070043064336	0.22	0.225	0.34461283683776855	0.03244900703430176
gaussian	E128	14	0.18	0.165	0.1353252738280295	0.10459589072240752	0.18	0.165	0.3482813835144043	0.03248476982116699
gaussian	E128	15	0.2	0.235	0.09862971883519828	0.1378536437645314	0.2	0.235	0.31935548782348633	0.042653799057006836
gaussian	E128	16	0.185	0.225	0.1595348092177311	0.2136380613577499	0.185	0.225	0.3450319766998291	0.04366254806518555
gaussian	E128	17	0.195	0.19	0.11470201519454237	0.10963101096685006	0.195	0.19	0.33333349227905273	0.04198741912841797
gaussian	E128	18	0.205	0.245	0.08296397054967969	0.09816308243727598	0.205	0.245	0.36936044692993164	0.03338813781738281
gaussian	E128	19	0.195	0.22	0.11574406442418864	0.11799964364201368	0.195	0.22	0.37627601623535156	0.0321497917175293
gaussian	E128	20	0.225	0.24	0.11100593226818883	0.11011730076964957	0.225	0.24	0.34226393699645996	0.031685590744018555
gaussian	S128	21	0.435	0.375	0.3042902621027621	0.24281089713870985	0.435	0.375	0.42781519889831543	0.03344225883483887
gaussian	S128	22	0.485	0.38	0.3739152538997099	0.2574935969991148	0.485	0.38	0.4256596565246582	0.03233766555786133
gaussian	S128	23	0.4	0.395	0.33620465090557017	0.3396229212405683	0.4	0.395	0.4148836135864258	0.03275609016418457
gaussian	S128	24	0.495	0.36	0.4143076520098129	0.28402144527360296	0.495	0.36	0.42644619941711426	0.03284454345703125
gaussian	S128	25	0.48	0.41	0.4129191336757577	0.35144087071294294	0.48	0.41	0.4280226230621338	0.031882524490356445
gaussian	S128	26	0.435	0.395	0.36203272347651183	0.3256952270110165	0.435	0.395	0.4289689064025879	0.03310871124267578
gaussian	S128	27	0.43	0.32	0.37654850936100936	0.22197793466663637	0.43	0.32	0.4269258975982666	0.03245258331298828
gaussian	S128	28	0.465	0.405	0.41264648307684665	0.3013322342019373	0.465	0.405	0.42684412002563477	0.03255057334899902
gaussian	S128	29	0.495	0.44	0.49737750873493064	0.4201587662882855	0.495	0.44	0.41649746894836426	0.033674001693725586
gaussian	S128	30	0.44	0.365	0.3290312307186979	0.272594878040177	0.44	0.365	0.4270045757293701	0.032523393630981445
gaussian	HH128	31	0.655	0.56	0.5171083962884845	0.3069782296921751	0.655	0.56	0.4443662166595459	0.032929420471191406
gaussian	HH128	32	0.62	0.625	0.5525525355302812	0.5740058244846551	0.62	0.625	0.4583859443664551	0.03160214424133301
gaussian	HH128	33	0.51	0.56	0.37546090100437923	0.40601241763762713	0.51	0.56	0.449387788772583	0.03266406059265137
gaussian	HH128	34	0.635	0.59	0.5589514040543782	0.5698089377020829	0.635	0.59	0.5989372730255127	0.032558441162109375
