dataset	signature	seed	ambient_gcn_f1-micro	ambient_mlp_f1-micro	ambient_mlr_f1-micro	kappa_gcn_f1-micro	kappa_mlp_f1-micro	kappa_mlr_f1-micro	knn_f1-micro	product_dt_f1-micro	product_rf_f1-micro	ps_perceptron_f1-micro	single_manifold_rf_f1-micro	sklearn_dt_f1-micro	sklearn_rf_f1-micro	tangent_dt_f1-micro	tangent_gcn_f1-micro	tangent_mlp_f1-micro	tangent_mlr_f1-micro	tangent_rf_f1-micro	ambient_gcn_f1-macro	ambient_mlp_f1-macro	ambient_mlr_f1-macro	kappa_gcn_f1-macro	kappa_mlp_f1-macro	kappa_mlr_f1-macro	knn_f1-macro	product_dt_f1-macro	product_rf_f1-macro	ps_perceptron_f1-macro	single_manifold_rf_f1-macro	sklearn_dt_f1-macro	sklearn_rf_f1-macro	tangent_dt_f1-macro	tangent_gcn_f1-macro	tangent_mlp_f1-macro	tangent_mlr_f1-macro	tangent_rf_f1-macro	ambient_gcn_accuracy	ambient_mlp_accuracy	ambient_mlr_accuracy	kappa_gcn_accuracy	kappa_mlp_accuracy	kappa_mlr_accuracy	knn_accuracy	product_dt_accuracy	product_rf_accuracy	ps_perceptron_accuracy	single_manifold_rf_accuracy	sklearn_dt_accuracy	sklearn_rf_accuracy	tangent_dt_accuracy	tangent_gcn_accuracy	tangent_mlp_accuracy	tangent_mlr_accuracy	tangent_rf_accuracy	ambient_gcn_time	ambient_mlp_time	ambient_mlr_time	kappa_gcn_time	kappa_mlp_time	kappa_mlr_time	knn_time	product_dt_time	product_rf_time	ps_perceptron_time	single_manifold_rf_time	sklearn_dt_time	sklearn_rf_time	tangent_dt_time	tangent_gcn_time	tangent_mlp_time	tangent_mlr_time	tangent_rf_time
gaussian	H	1	0.12	0.12	0.12	0.125	1.0	1.0	0.975	0.835	1.0	0.16	0.995	0.9	0.98	0.84	0.125	1.0	1.0	0.985	0.026785714285714284	0.026785714285714284	0.026785714285714284	0.027777777777777776	1.0	1.0	0.9711489898989899	0.8190996594405608	1.0	0.034482758620689655	0.9963228534657106	0.8870375132624653	0.9849985827664399	0.8008568292457521	0.027777777777777776	1.0	1.0	0.9832625623579991	0.12	0.12	0.12	0.125	1.0	1.0	0.975	0.835	1.0	0.16	0.995	0.9	0.98	0.84	0.125	1.0	1.0	0.985	53.46084237098694	42.30500531196594	18.782542943954468	48.572829484939575	54.596235513687134	26.502044677734375	0.20486879348754883	0.12427425384521484	0.665245771408081	0.03835010528564453	1.012697458267212	0.006819009780883789	0.034049272537231445	0.00548553466796875	52.60928201675415	41.637948989868164	18.623595476150513	0.03261446952819824
gaussian	H	2	0.115	0.115	0.115	0.25	1.0	1.0	1.0	0.82	1.0	0.135	0.995	0.94	0.975	0.895	0.115	1.0	1.0	0.99	0.0257847533632287	0.0257847533632287	0.0257847533632287	0.05	1.0	1.0	1.0	0.8071895072380405	1.0	0.02973568281938326	0.9937460913070669	0.9433795613105103	0.9738177161890398	0.8866649930476769	0.0257847533632287	1.0	1.0	0.9909340934093409	0.115	0.115	0.115	0.25	1.0	1.0	1.0	0.82	1.0	0.135	0.995	0.94	0.975	0.895	0.115	1.0	1.0	0.99	53.32880687713623	41.01665282249451	18.489362716674805	50.97597098350525	51.03679370880127	26.339585304260254	0.11739826202392578	0.06231212615966797	0.6861152648925781	0.0371856689453125	0.9700427055358887	0.006074190139770508	0.032338619232177734	0.0054624080657958984	53.525126695632935	41.42695593833923	18.53411102294922	0.0316927433013916
gaussian	H	3	0.085	0.085	0.085	0.305	0.965	0.96	0.97	0.95	0.985	0.185	0.995	0.915	0.955	0.965	0.345	0.97	0.975	0.98	0.019585253456221197	0.019585253456221197	0.019585253456221197	0.05842911877394636	0.8538040162151541	0.8499370607854921	0.7248774509803921	0.7190192961659283	0.863250546828086	0.060057589469354175	0.9947559499798305	0.8096169733810332	0.7197305889889676	0.7704704342692983	0.15058760683760686	0.9805021964112873	0.9816303842835336	0.8580254041029431	0.085	0.085	0.085	0.305	0.965	0.96	0.97	0.95	0.985	0.185	0.995	0.915	0.955	0.965	0.345	0.97	0.975	0.98	52.94213104248047	41.7482430934906	18.460354328155518	49.316214084625244	51.91567397117615	26.272653579711914	0.004650592803955078	0.05768990516662598	0.6645505428314209	0.03689002990722656	0.7177023887634277	0.0057489871978759766	0.034935712814331055	0.005445003509521484	53.45583200454712	41.186415910720825	18.495563745498657	0.033989667892456055
gaussian	H	4	0.25	0.25	0.25	0.19	0.99	0.995	0.925	0.77	0.99	0.125	0.995	0.815	0.965	0.815	0.19	0.99	0.99	0.965	0.05	0.05	0.05	0.03991596638655462	0.9901960784313726	0.9951909476661952	0.7805143637031997	0.8042949275200797	0.9901960784313726	0.027777777777777776	0.9941327466079941	0.7927333963786787	0.9345618669980489	0.7889599146838789	0.03991596638655462	0.9901960784313726	0.9901960784313726	0.9299337236837237	0.25	0.25	0.25	0.19	0.99	0.995	0.925	0.77	0.99	0.125	0.995	0.815	0.965	0.815	0.19	0.99	0.99	0.965	53.05196142196655	41.91369915008545	18.594813585281372	48.42280650138855	50.82836437225342	26.81324338912964	0.003277301788330078	0.06035494804382324	0.6668069362640381	0.036672115325927734	0.7478129863739014	0.005665779113769531	0.033512115478515625	0.005408048629760742	52.601805686950684	41.99649000167847	18.366130113601685	0.03293776512145996
gaussian	H	5	0.155	0.155	0.155	0.325	0.99	0.995	0.95	0.99	1.0	0.155	0.995	0.875	0.985	0.985	0.175	0.99	0.99	1.0	0.03354978354978355	0.03354978354978355	0.03354978354978355	0.17284823104639885	0.9932253245267914	0.9963737649779272	0.9380065247252747	0.985065269032933	1.0	0.03354978354978355	0.996150201374082	0.8193624364460637	0.982981905308343	0.9873969662485593	0.03723404255319149	0.9932253245267914	0.9932253245267914	1.0	0.155	0.155	0.155	0.325	0.99	0.995	0.95	0.99	1.0	0.155	0.995	0.875	0.985	0.985	0.175	0.99	0.99	1.0	53.278255224227905	41.21939182281494	17.65068244934082	48.646193981170654	52.19647264480591	26.46070909500122	0.0032799243927001953	0.06023573875427246	0.7277562618255615	0.03738212585449219	0.889122486114502	0.005764961242675781	0.033621788024902344	0.00524449348449707	53.578667402267456	41.32788133621216	18.518696069717407	0.033644914627075195
gaussian	H	6	0.05	0.905	0.89	0.23	1.0	1.0	0.96	0.895	1.0	0.16	0.995	0.865	0.975	0.915	0.19	1.0	1.0	0.995	0.011904761904761904	0.8847126018933612	0.8832063880348026	0.046747967479674794	1.0	1.0	0.9444055944055945	0.8898342985842986	1.0	0.034482758620689655	0.9966717869943676	0.8364028570890154	0.9745460881397263	0.8759948241729019	0.07205253896430366	1.0	1.0	0.9906432748538012	0.05	0.905	0.89	0.23	1.0	1.0	0.96	0.895	1.0	0.16	0.995	0.865	0.975	0.915	0.19	1.0	1.0	0.995	52.87080693244934	42.33271932601929	18.403867721557617	49.02793073654175	51.93776988983154	26.449294805526733	0.0035457611083984375	0.051760196685791016	0.6748015880584717	0.036386728286743164	1.2391092777252197	0.005909919738769531	0.032327890396118164	0.005464315414428711	53.347352504730225	40.52813911437988	18.57136368751526	0.03568530082702637
gaussian	H	7	0.205	0.205	0.205	0.205	1.0	1.0	0.985	0.7	0.995	0.12	0.99	0.95	0.95	0.95	0.09	1.0	1.0	0.985	0.04253112033195021	0.04253112033195021	0.04253112033195021	0.04253112033195021	1.0	1.0	0.9420168067226891	0.6321979058641609	0.9939620471535365	0.026785714285714284	0.9941829004329004	0.9576312423462991	0.9581995048930463	0.9087782102807678	0.020642201834862386	1.0	1.0	0.9861634036144578	0.205	0.205	0.205	0.205	1.0	1.0	0.985	0.7	0.995	0.12	0.99	0.95	0.95	0.95	0.09	1.0	1.0	0.985	52.98891019821167	41.927414417266846	18.580589771270752	48.70230531692505	52.034038066864014	26.178189992904663	0.0031201839447021484	0.058801889419555664	0.6810793876647949	0.0361475944519043	0.9083049297332764	0.005717277526855469	0.03278207778930664	0.005661725997924805	52.83027529716492	42.047607421875	18.729809522628784	0.033147573471069336
gaussian	H	8	0.025	0.865	0.89	0.2	1.0	0.995	0.985	1.0	1.0	0.155	0.995	0.935	0.965	0.945	0.11	1.0	1.0	0.995	0.006097560975609756	0.8631401969225686	0.8989032891732956	0.05077464788732394	1.0	0.9826839826839827	0.9620711900425015	1.0	1.0	0.03354978354978355	0.9963924963924964	0.8883973665223666	0.9662094324181034	0.9293990817058733	0.03356481481481481	1.0	1.0	0.9939658759883478	0.025	0.865	0.89	0.2	1.0	0.995	0.985	1.0	1.0	0.155	0.995	0.935	0.965	0.945	0.11	1.0	1.0	0.995	53.638808727264404	40.790432929992676	18.8059663772583	48.75312566757202	52.10225558280945	26.512655019760132	0.0031921863555908203	0.06334781646728516	0.6987383365631104	0.03746819496154785	0.8800930976867676	0.005863189697265625	0.03385305404663086	0.005214691162109375	53.48289895057678	41.44811940193176	18.69270133972168	0.03400993347167969
gaussian	H	9	0.2	0.2	0.2	0.145	1.0	0.985	1.0	0.91	1.0	0.145	0.995	0.94	0.985	0.925	0.25	1.0	1.0	1.0	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.033256880733944956	1.0	0.9874034147557328	1.0	0.9058665019191334	1.0	0.03165938864628821	0.9943099273607748	0.9273460078394761	0.979043911335578	0.9133676595639385	0.13006121662007133	1.0	1.0	1.0	0.2	0.2	0.2	0.145	1.0	0.985	1.0	0.91	1.0	0.145	0.995	0.94	0.985	0.925	0.25	1.0	1.0	1.0	53.56345319747925	41.98777651786804	18.6555917263031	48.732107639312744	52.46536350250244	26.657721757888794	0.0031456947326660156	0.06256103515625	0.6715960502624512	0.03706860542297363	1.0468900203704834	0.0060575008392333984	0.03258323669433594	0.0054814815521240234	53.534483432769775	41.51733350753784	18.58879852294922	0.03372454643249512
gaussian	H	10	0.05	0.05	0.05	0.25	0.995	0.995	0.975	0.975	0.985	0.12	0.98	0.94	0.97	0.96	0.105	1.0	1.0	0.985	0.011904761904761904	0.011904761904761904	0.011904761904761904	0.05	0.9937460913070669	0.9937146448774355	0.9025123250733007	0.9710021857306805	0.9510664282932286	0.026785714285714284	0.976867428546899	0.8794586034266605	0.9396655058419765	0.930246895197179	0.023755656108597284	1.0	1.0	0.9213592233009709	0.05	0.05	0.05	0.25	0.995	0.995	0.975	0.975	0.985	0.12	0.98	0.94	0.97	0.96	0.105	1.0	1.0	0.985	53.57167100906372	42.186623334884644	18.940179347991943	48.402281522750854	51.85426664352417	26.946569442749023	0.003150463104248047	0.05469059944152832	0.6927347183227539	0.03649568557739258	0.8843445777893066	0.005860805511474609	0.033503055572509766	0.005190372467041016	53.492645263671875	42.161742210388184	18.807976961135864	0.033725738525390625
