dim,signature,max_depth,trial,product_rf_accuracy,sklearn_rf_accuracy,tangent_rf_accuracy,ensemble_accuracy
1024,H,1,0,0.496,0.496,0.628,0.482
1024,H,2,0,0.768,0.838,0.776,0.622
1024,H,3,0,0.918,0.924,0.936,0.746
1024,H,4,0,0.996,0.986,0.994,0.798
1024,H,5,0,0.998,0.992,0.998,0.824
1024,H,6,0,0.998,0.992,1.0,0.904
1024,H,7,0,0.998,0.992,1.0,0.926
1024,H,8,0,1.0,0.99,1.0,0.94
1024,H,9,0,1.0,0.992,1.0,0.946
1024,H,10,0,1.0,0.994,1.0,0.946
1024,H,11,0,1.0,0.994,1.0,0.946
1024,H,12,0,1.0,0.994,1.0,0.946
1024,H,13,0,1.0,0.994,1.0,0.946
1024,H,14,0,1.0,0.994,1.0,0.946
1024,H,15,0,1.0,0.994,1.0,0.946
1024,H,16,0,1.0,0.994,1.0,0.946
1024,H,17,0,1.0,0.994,1.0,0.946
1024,H,18,0,1.0,0.994,1.0,0.946
1024,H,19,0,1.0,0.994,1.0,0.946
1024,H,1,1,0.608,0.646,0.64,0.35
1024,H,2,1,0.78,0.848,0.85,0.5
1024,H,3,1,0.928,0.946,0.978,0.616
1024,H,4,1,0.998,0.996,0.996,0.726
1024,H,5,1,1.0,0.998,1.0,0.794
1024,H,6,1,1.0,0.994,1.0,0.876
1024,H,7,1,1.0,0.998,1.0,0.92
1024,H,8,1,1.0,0.998,1.0,0.926
1024,H,9,1,1.0,0.998,1.0,0.93
1024,H,10,1,1.0,0.998,1.0,0.93
1024,H,11,1,1.0,0.998,1.0,0.93
1024,H,12,1,1.0,0.998,1.0,0.93
1024,H,13,1,1.0,0.998,1.0,0.93
1024,H,14,1,1.0,0.998,1.0,0.93
1024,H,15,1,1.0,0.998,1.0,0.93
1024,H,16,1,1.0,0.998,1.0,0.93
1024,H,17,1,1.0,0.998,1.0,0.93
1024,H,18,1,1.0,0.998,1.0,0.93
1024,H,19,1,1.0,0.998,1.0,0.93
1024,H,1,2,0.644,0.584,0.734,0.33
1024,H,2,2,0.876,0.83,0.85,0.502
1024,H,3,2,0.968,0.954,0.944,0.618
1024,H,4,2,0.994,0.994,0.974,0.746
1024,H,5,2,0.996,0.996,0.998,0.82
1024,H,6,2,0.998,0.996,1.0,0.888
1024,H,7,2,1.0,0.998,1.0,0.938
1024,H,8,2,1.0,0.996,1.0,0.938
1024,H,9,2,0.998,0.994,1.0,0.94
1024,H,10,2,0.998,0.996,1.0,0.94
1024,H,11,2,0.998,0.996,1.0,0.94
1024,H,12,2,0.998,0.996,1.0,0.94
1024,H,13,2,0.998,0.996,1.0,0.94
1024,H,14,2,0.998,0.996,1.0,0.94
1024,H,15,2,0.998,0.996,1.0,0.94
1024,H,16,2,0.998,0.996,1.0,0.94
1024,H,17,2,0.998,0.996,1.0,0.94
1024,H,18,2,0.998,0.996,1.0,0.94
1024,H,19,2,0.998,0.996,1.0,0.94
1024,H,1,3,0.66,0.674,0.776,0.488
1024,H,2,3,0.92,0.932,0.912,0.588
1024,H,3,3,0.962,0.962,0.952,0.706
1024,H,4,3,0.966,0.976,0.972,0.858
1024,H,5,3,0.984,0.978,0.99,0.912
1024,H,6,3,0.988,0.988,0.992,0.934
1024,H,7,3,0.99,0.99,0.992,0.936
1024,H,8,3,0.99,0.988,0.996,0.942
1024,H,9,3,0.99,0.988,0.994,0.934
1024,H,10,3,0.992,0.988,0.994,0.934
1024,H,11,3,0.992,0.988,0.994,0.934
1024,H,12,3,0.992,0.988,0.996,0.934
1024,H,13,3,0.992,0.988,0.996,0.934
1024,H,14,3,0.992,0.988,0.996,0.934
1024,H,15,3,0.992,0.988,0.996,0.934
1024,H,16,3,0.992,0.988,0.996,0.934
1024,H,17,3,0.992,0.988,0.996,0.934
1024,H,18,3,0.992,0.988,0.996,0.934
1024,H,19,3,0.992,0.988,0.996,0.934
1024,H,1,4,0.536,0.538,0.542,0.338
1024,H,2,4,0.688,0.696,0.678,0.498
1024,H,3,4,0.962,0.944,0.886,0.602
1024,H,4,4,0.99,0.996,0.966,0.68
1024,H,5,4,1.0,0.994,1.0,0.77
1024,H,6,4,1.0,0.998,1.0,0.832
1024,H,7,4,1.0,1.0,0.998,0.916
1024,H,8,4,1.0,0.998,0.998,0.928
1024,H,9,4,1.0,1.0,0.996,0.928
1024,H,10,4,1.0,1.0,0.998,0.93
1024,H,11,4,1.0,1.0,0.998,0.93
