dataset	signature	seed	ambient_gcn_mse	ambient_mlp_mse	ambient_mlr_mse	kappa_gcn_mse	kappa_mlp_mse	kappa_mlr_mse	knn_mse	product_dt_mse	product_rf_mse	single_manifold_rf_mse	sklearn_dt_mse	sklearn_rf_mse	tangent_dt_mse	tangent_gcn_mse	tangent_mlp_mse	tangent_mlr_mse	tangent_rf_mse	ambient_gcn_rmse	ambient_mlp_rmse	ambient_mlr_rmse	kappa_gcn_rmse	kappa_mlp_rmse	kappa_mlr_rmse	knn_rmse	product_dt_rmse	product_rf_rmse	single_manifold_rf_rmse	sklearn_dt_rmse	sklearn_rf_rmse	tangent_dt_rmse	tangent_gcn_rmse	tangent_mlp_rmse	tangent_mlr_rmse	tangent_rf_rmse	ambient_gcn_time	ambient_mlp_time	ambient_mlr_time	kappa_gcn_time	kappa_mlp_time	kappa_mlr_time	knn_time	product_dt_time	product_rf_time	single_manifold_rf_time	sklearn_dt_time	sklearn_rf_time	tangent_dt_time	tangent_gcn_time	tangent_mlp_time	tangent_mlr_time	tangent_rf_time
cs_phds	H	1000000	3904314.9097860847	3898786.6089307577	3899013.5908380467	3908005.2350331936	3905229.6827837033	3905324.215787596	169.0472195121951	266.10498160872515	256.1365617595068	406.9560975609756	353.0049291552032	257.89176299344325	252.05495942505402	3907953.070388275	3905167.8549108217	3905307.8827045066	237.546694035198	1975.9339335580237	1974.5345296881383	1974.5920061719198	1976.8675309775294	1976.1653986404335	1976.189316788145	13.001816008242661	16.31272453052295	16.004266986010535	20.173152890933423	18.788425403827837	16.05900877991675	15.876238831192167	1976.85433717011	1976.1497551832506	1976.1851843145942	15.412549887516926	56.353020906448364	42.174196004867554	15.902983903884888	49.97196412086487	54.895455837249756	26.662802696228027	0.0031671524047851562	0.09207606315612793	0.9605717658996582	27.01670527458191	0.0019490718841552734	0.03441619873046875	0.0014815330505371094	55.97463941574097	42.43974995613098	17.717612743377686	0.03284120559692383
cs_phds	H	1000001	3912087.217574236	3905978.8175706654	3906230.5245384052	3915488.641015017	3912744.059267222	3912693.0629597767	160.47902439024404	155.66170060438353	171.66251551661549	235.06829268292682	224.91632320776213	155.64394165016455	191.71335637312768	3915568.2157145827	3912715.1383691253	3912801.8601423833	175.9628161623474	1977.8996985626536	1976.354932083472	1976.418610653726	1978.759369154071	1978.0657368417315	1978.052846351628	12.668031590986978	12.476445832222554	13.102004255708952	15.331937016663186	14.997210514217707	12.475734112675076	13.846059236227747	1978.779476271821	1978.0584264295949	1978.0803472413306	13.26509766878282	57.447309732437134	41.918983936309814	19.025350332260132	51.188408851623535	55.83791470527649	27.660680294036865	0.002949953079223633	0.08208727836608887	0.9338009357452393	25.972134113311768	0.0018987655639648438	0.03416109085083008	0.0014529228210449219	57.35039162635803	42.41788601875305	19.10719132423401	0.031676530838012695
cs_phds	H	1000002	3908585.040933585	3902543.0406052666	3902997.541279788	3912218.1460078857	3909268.2068598624	3909258.8051320035	147.0279024390246	215.4825552741929	169.7173696819602	332.0	216.27200229765108	158.67751652160226	206.3126064007957	3911962.367654445	3909307.295894658	3909199.9129691	158.1765830639275	1977.0141731746853	1975.4855202216154	1975.600552054941	1977.932796130315	1977.1869428204968	1977.1845652674926	12.125506275575654	14.679324074159304	13.02756192393497	18.2208671582886	14.706189251388379	12.596726420844515	14.363586126061824	1977.8681370744728	1977.196827808162	1977.169672276282	12.576827225653037	57.73439073562622	41.959230184555054	18.949191331863403	51.87665033340454	55.18929696083069	27.30994200706482	0.0031785964965820312	0.09863090515136719	1.019775152206421	26.842495679855347	0.0018963813781738281	0.03335142135620117	0.001476287841796875	57.89993381500244	43.02836084365845	19.058659315109253	0.032279014587402344
cs_phds	H	1000003	3903161.839464427	3897775.2164848875	3897748.0116168475	3906696.7368017477	3904014.0395573988	3904020.0220621563	223.57092682926827	315.61745459982535	280.0137044128848	321.9512195121951	277.5316803585272	281.15185704978796	311.0543461782275	3906778.7651340007	3903973.1324854363	3904033.827605524	303.6707965611367	1975.6421334503946	1974.2784039959733	1974.271514158285	1976.536550838802	1975.857798415007	1975.8593123150638	14.952288347583064	17.765625646169216	16.733610023329838	17.942999178292215	16.659282108138008	16.767583518497467	17.636732865761378	1976.557301252357	1975.8474466631872	1975.862805866218	17.426152660904147	57.81845831871033	42.520684242248535	18.84926128387451	50.128554344177246	55.744903326034546	27.534350872039795	0.0029664039611816406	0.09166383743286133	0.9132633209228516	26.09300398826599	0.0019562244415283203	0.03250598907470703	0.0015430450439453125	57.700735330581665	42.96134161949158	19.184321641921997	0.03244733810424805
cs_phds	H	1000004	3909511.644491897	3903353.3038106672	3903545.975197832	3912938.35886643	3910351.6865089335	3910273.8767372724	183.49931707317077	322.40188456235865	211.31912957880556	373.33658536585364	233.64338812280013	208.22298200410242	232.55109492605175	3913021.4171719723	3910054.5089028054	3910083.1295569222	210.97313807986134	1977.2485034744361	1975.690589087944	1975.7393490027555	1978.114849766421	1977.4609190851113	1977.441244825563	13.546191976831377	17.955553028585854	14.536819789032453	19.32191981573916	15.285397872571068	14.429933541222649	15.249626058564575	1978.1358439631927	1977.3857764489976	1977.3930134287727	14.524914391481326	58.001105546951294	42.90305280685425	18.87498927116394	51.47966146469116	55.75293946266174	27.29241371154785	0.0031218528747558594	0.06129765510559082	0.9633500576019287	26.300444841384888	0.0019443035125732422	0.033545494079589844	0.0015175342559814453	57.685790061950684	43.19210863113403	19.039411306381226	0.031868696212768555
cs_phds	H	1000005	3914664.4306508168	3909245.970994143	3909140.0846282174	3918140.136189187	3915419.5593681987	3915383.45367235	130.00721951219515	187.22972864864803	127.73962063942014	321.3853658536585	205.42104671285594	138.52699859596683	233.95123410453897	3918123.269821524	3915537.813991856	3915623.3982030475	138.58055555379275	1978.5510937680676	1977.181319705945	1977.1545424240912	1979.4292450575713	1978.7419132792934	1978.7327898613169	11.40207084314929	13.68319146429838	11.302195390251406	17.927224153606673	14.332517110153956	11.769749300472242	15.295464494566321	1979.4249846411265	1978.7717943188536	1978.793419789708	11.77202427596005	57.764055252075195	42.87956500053406	18.967731952667236	49.666496992111206	55.33288788795471	26.407692909240723	0.003175020217895508	0.08246517181396484	0.9083433151245117	26.760623693466187	0.001970052719116211	0.034212350845336914	0.001470327377319336	57.40656518936157	42.36267924308777	18.955146074295044	0.03274393081665039
cs_phds	H	1000006	3906020.1924838894	3900203.268094822	3900157.521962032	3909492.037959352	3906881.6420083707	3906902.392072065	262.0540487804876	320.0245923497328	306.8285313500864	405.5219512195122	344.74411387385817	321.62069491778453	328.0066368424352	3909483.4045414194	3906639.9121349817	3906661.6318464153	309.5561183617284	1976.3653995362015	1974.8932295430104	1974.8816475834778	1977.2435454337315	1976.5833253390485	1976.5885743047452	16.188083542547204	17.88923118386402	17.51652166813053	20.137575604315238	18.56728612032082	17.933786407721726	18.110953504507574	1977.2413622371496	1976.52217597855	1976.52767039736	17.594206954612318	57.91573905944824	43.01613998413086	18.830439567565918	51.27413821220398	55.55679988861084	27.364255905151367	0.0031359195709228516	0.07262873649597168	0.9391937255859375	26.50410747528076	0.0019137859344482422	0.033042192459106445	0.0014624595642089844	57.59890913963318	42.86126947402954	19.08402991294861	0.0326540470123291
cs_phds	H	1000007	3910308.7824667557	3905079.5320252827	3904743.887162569	3913614.5659650443	3911054.2873252355	3911048.7862895615	161.9785365853658	229.4703640844764	167.3942509218687	266.0439024390244	326.1719491469681	186.49488115351903	322.16620126411766	3913793.669181363	3911375.7975434926	3911377.2869110154	179.87306142113857	1977.4500707898433	1976.127407842238	1976.042481112835	1978.2857644852638	1977.6385633692612	1977.6371725596082	12.727078870870793	15.148279244999294	12.93809301720577	16.31085229039318	18.060231148769056	13.656312868176352	17.94898886467195	1978.3310312435992	1977.7198480936304	1977.7202246301208	13.411676309139681	58.22195649147034	42.88926124572754	18.71899724006653	51.64232110977173	56.187559843063354	27.28979182243347	0.0030922889709472656	0.09688997268676758	0.9703774452209473	26.835920572280884	0.0019450187683105469	0.03356504440307617	0.0015118122100830078	58.15009784698486	42.943050384521484	19.11382508277893	0.03299736976623535
cs_phds	H	1000008	3909884.2647814113	3903717.1206579325	3903273.7336723986	3913191.84737809	3910261.7085808604	3910306.035179051	120.82360975609782	168.44294691085815	155.36381775962144	313.98048780487807	191.64135728577736	150.45211308576006	196.8624896033456	3913120.222908499	3910254.031471904	3910232.1329873493	158.04633765672344	1977.3427282040439	1975.7826602786888	1975.670451687831	1978.1789219830673	1977.4381680803222	1977.4493761355943	10.991979337503224	12.978557196809597	12.464502306936344	17.719494569678844	13.843459007263226	12.265892266189201	14.030769387433663	1978.1608182623827	1977.436226903893	1977.4306898061811	12.571648167870569	57.766319274902344	43.10317635536194	18.76101779937744	51.256962299346924	55.48713397979736	26.798198461532593	0.0030639171600341797	0.06232166290283203	0.8504898548126221	26.209296464920044	0.001983165740966797	0.03276228904724121	0.0015177726745605469	57.83324956893921	42.857603549957275	19.016749620437622	0.03275656700134277
cs_phds	H	1000009	3910090.7144612046	3904345.1474574017	3904192.815571879	3913612.513753208	3910888.2184969587	3910844.570988139	189.10302439024397	220.89353652196687	212.24633064349976	299.3560975609756	281.0800361947916	228.54885010369117	299.1809197938147	3913528.612595213	3910849.1688625906	3910856.0877971184	206.33831307170973	1977.3949313329406	1975.9415850316532	1975.903037998545	1978.2852458008192	1977.596576275596	1977.5855407511806	13.751473535234105	14.862487561709408	14.56867635180011	17.30191022867058	16.765441723819613	15.117832189295235	17.296847105580103	1978.2640401612757	1977.5867032478222	1977.5884525848946	14.364480953787009	57.88591480255127	42.990782737731934	18.97171187400818	51.26643633842468	55.62764549255371	27.21241807937622	0.0033392906188964844	0.0719609260559082	0.9666950702667236	26.17914867401123	0.0019838809967041016	0.03289437294006348	0.0015349388122558594	57.62448191642761	43.0217080116272	19.18312954902649	0.031780242919921875
