,model,dataset,test_score,n_estimators,min_samples_split,min_samples_leaf,max_depth,max_features,n_features,use_special_dims
0,ProductSpaceRF,0,0.75,24,8,8,9,sqrt,d_choose_2,True
1,ProductSpaceRF,1,0.6933333333333334,24,8,8,9,sqrt,d_choose_2,True
2,ProductSpaceRF,2,0.74,24,8,8,9,sqrt,d_choose_2,True
3,ProductSpaceRF,3,0.72,24,8,8,9,sqrt,d_choose_2,True
4,ProductSpaceRF,4,0.6733333333333333,24,8,8,9,sqrt,d_choose_2,True
5,SklearnRF,0,0.7066666666666667,24,2,1,9,,,
6,SklearnRF,1,0.6533333333333333,24,2,1,9,,,
7,SklearnRF,2,0.7433333333333333,24,2,1,9,,,
8,SklearnRF,3,0.6933333333333334,24,2,1,9,,,
9,SklearnRF,4,0.6666666666666666,24,2,1,9,,,
10,TangentRF,0,0.7733333333333333,24,4,2,9,sqrt,,
11,TangentRF,1,0.6833333333333333,24,4,2,9,sqrt,,
12,TangentRF,2,0.7,24,4,2,9,sqrt,,
13,TangentRF,3,0.67,24,4,2,9,sqrt,,
14,TangentRF,4,0.6766666666666666,24,4,2,9,sqrt,,
15,SingleManifoldEnsembleRF,0,0.56,6,16,2,9,,d_choose_2,False
16,SingleManifoldEnsembleRF,1,0.6766666666666666,6,16,2,9,,d_choose_2,False
17,SingleManifoldEnsembleRF,2,0.65,6,16,2,9,,d_choose_2,False
18,SingleManifoldEnsembleRF,3,0.6666666666666666,6,16,2,9,,d_choose_2,False
19,SingleManifoldEnsembleRF,4,0.6266666666666667,6,16,2,9,,d_choose_2,False
